year,doc_id,status,path,present
2014,8214104,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214104.pdf,True
2014,9105131,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105131.pdf,True
2014,8214531,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214531.pdf,True
2014,8215761,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8215761.pdf,True
2014,8216015,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216015.pdf,True
2014,8216364,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216364.pdf,True
2014,9105443,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105443.pdf,True
2014,9105521,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105521.pdf,True
2014,9105642,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105642.pdf,True
2014,20000165,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000165.pdf,True
2014,20000228,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000228.pdf,True
2014,8216259,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216259.pdf,True
2014,9105657,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105657.pdf,True
2014,9105891,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105891.pdf,True
2014,8213946,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8213946.pdf,True
2014,8213947,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8213947.pdf,True
2014,8214215,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214215.pdf,True
2014,8213779,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8213779.pdf,True
2014,20002184,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002184.pdf,True
2014,8214216,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214216.pdf,True
2014,8214217,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214217.pdf,True
2014,8214327,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214327.pdf,True
2014,20001015,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001015.pdf,True
2014,20001540,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001540.pdf,True
2014,20001777,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001777.pdf,True
2014,20002231,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002231.pdf,True
2014,20002247,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002247.pdf,True
2014,8216098,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216098.pdf,True
2014,8216365,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216365.pdf,True
2014,8216519,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216519.pdf,True
2014,9105822,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105822.pdf,True
2014,8215696,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8215696.pdf,True
2014,8215815,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8215815.pdf,True
2014,8215898,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8215898.pdf,True
2014,8215965,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8215965.pdf,True
2014,8216123,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216123.pdf,True
2014,8216480,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8216480.pdf,True
2014,9105544,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105544.pdf,True
2014,9105776,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105776.pdf,True
2014,9105804,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9105804.pdf,True
2014,8213807,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8213807.pdf,True
