source,provenance,bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,owner,doc_id,source_url,natural_key_hash
senate,openset,W000779,Ron L Wyden,senate,Democrat,,"['Joint Committee on Taxation', 'SSEG01', 'SSEG03', 'SSEG07', 'SSFI02', 'SSFI10', 'SSFI11', 'SSFI12', 'SSFI13', 'SSFI14', 'Senate Committee on Energy and Natural Resources', 'Senate Committee on Finance', 'Senate Committee on the Budget', 'Senate Select Committee on Intelligence']",True,2021-01-20,2021-02-18,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=AAPL"" TARGET=""_BLANK"">AAPL</A>",Apple Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/a0a26d20-b140-444b-b562-9d73de4c6bd9/,f2a2ec496ab47db4cc903bbccda72b9dc7840b3df91a5c3b2c4db78989b90497
senate,openset,W000779,Ron L Wyden,senate,Democrat,,"['Joint Committee on Taxation', 'SSEG01', 'SSEG03', 'SSEG07', 'SSFI02', 'SSFI10', 'SSFI11', 'SSFI12', 'SSFI13', 'SSFI14', 'Senate Committee on Energy and Natural Resources', 'Senate Committee on Finance', 'Senate Committee on the Budget', 'Senate Select Committee on Intelligence']",True,2021-01-27,2021-02-18,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=AAPL"" TARGET=""_BLANK"">AAPL</A>",Apple Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/a0a26d20-b140-444b-b562-9d73de4c6bd9/,718c3be33d1734013ef0d36546a6defaa2f19812f36c6717219c5131cd2c6f05
senate,openset,W000779,Ron L Wyden,senate,Democrat,,"['Joint Committee on Taxation', 'SSEG01', 'SSEG03', 'SSEG07', 'SSFI02', 'SSFI10', 'SSFI11', 'SSFI12', 'SSFI13', 'SSFI14', 'Senate Committee on Energy and Natural Resources', 'Senate Committee on Finance', 'Senate Committee on the Budget', 'Senate Select Committee on Intelligence']",True,2021-01-27,2021-02-18,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=DIS"" TARGET=""_BLANK"">DIS</A>",The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/a0a26d20-b140-444b-b562-9d73de4c6bd9/,85c0d4bfc123a72742ed36047189eceb30d7ba9d1faaa61cbad38fbec6caed96
senate,openset,W000779,Ron L Wyden,senate,Democrat,,"['Joint Committee on Taxation', 'SSEG01', 'SSEG03', 'SSEG07', 'SSFI02', 'SSFI10', 'SSFI11', 'SSFI12', 'SSFI13', 'SSFI14', 'Senate Committee on Energy and Natural Resources', 'Senate Committee on Finance', 'Senate Committee on the Budget', 'Senate Select Committee on Intelligence']",True,2021-01-27,2021-02-18,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=KLAC"" TARGET=""_BLANK"">KLAC</A>",KLA Corporation,Stock,Purchase,"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/a0a26d20-b140-444b-b562-9d73de4c6bd9/,39868320531814e0295267c331fd58fb1ad23794c2c796083efe699a355c7bf1
senate,openset,M000934,"Jerry Moran,",senate,Republican,,"['SSAF13', 'SSAF15', 'SSAP01', 'SSAP02', 'SSAP16', 'SSAP18', 'SSAP20', 'SSAP24', 'SSCM33', 'SSCM34', 'SSCM35', 'Senate Committee on Agriculture, Nutrition, and Forestry', 'Senate Committee on Appropriations', 'Senate Committee on Commerce, Science, and Transportation', 'Senate Committee on Indian Affairs', ""Senate Committee on Veterans' Affairs"", 'Senate Select Committee on Intelligence']",True,2021-01-27,2021-02-08,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=COST"" TARGET=""_BLANK"">COST</A>",Costco Wholesale Corporation,Stock,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/7b095739-bb31-4b09-965f-5ac00e2c1321/,dfdd12abd6994b28da380a2f785a8c6eabaa032a4291f80c745f566efbf68ad1
senate,openset,T000461,Patrick J Toomey,senate,Republican,,[],False,2021-01-28,2021-02-08,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=GME"" TARGET=""_BLANK"">GME</A>",GameStop Corp.,Stock,Sale (Full),"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/7d15a774-58c7-45bf-889a-ff2b0aff5cc6/,f2d28f908a91f1718acc8b50dd894ac4b4bc3ba117e2fd943deb1d4ce635cc74
senate,openset,T000461,Patrick J Toomey,senate,Republican,,[],False,2021-01-27,2021-02-08,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=SHOP"" TARGET=""_BLANK"">SHOP</A>",Shopify Inc.,Stock,Sale (Full),"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/7d15a774-58c7-45bf-889a-ff2b0aff5cc6/,7644cd04b2d3026118380bd91460668aa401cf7690257689dae71fe813392002
senate,openset,T000461,Patrick J Toomey,senate,Republican,,[],False,2021-01-27,2021-02-08,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=GME"" TARGET=""_BLANK"">GME</A>",GameStop Corp.,Stock,Purchase,"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/7d15a774-58c7-45bf-889a-ff2b0aff5cc6/,31a61395cc7228bef6142d21d9c6d1bf7d2f889c8f8a7c7acb56577924b5cb06
senate,openset,T000461,Patrick J Toomey,senate,Republican,,[],False,2021-01-27,2021-02-08,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=TSLA"" TARGET=""_BLANK"">TSLA</A>","Tesla, Inc.",Stock,Sale (Full),"$1,001 - $15,000",8000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/7d15a774-58c7-45bf-889a-ff2b0aff5cc6/,ab1ee865db9ccde1ec08c0e2b54a8409042a5a8871346e6b7d48c015f8a754f1
senate,openset,P000595,Gary C Peters,senate,Democrat,,"['SSAP01', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP22', 'SSAS14', 'SSAS20', 'SSAS21', 'SSCM34', 'SSCM36', 'SSCM37', 'SSCM38', 'SSGA01', 'SSGA20', 'SSGA22', 'Senate Committee on Appropriations', 'Senate Committee on Armed Services', 'Senate Committee on Commerce, Science, and Transportation', 'Senate Committee on Homeland Security and Governmental Affairs']",True,2021-01-15,2021-02-02,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=STAG"" TARGET=""_BLANK"">STAG</A>","STAG Industrial, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/cf66f482-baa0-409c-abdd-b9cfcbb5fd4e/,14aa8f0fa0432a0fca71e0dee2810be03b90dc70494a5be92ebb404bb466790f
