doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20023575,Connolly,Gerald E.,P,VA11,8/25/2023,2023-08-25,Gerald E. Connolly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023575.pdf
20024004,Connolly,Gerald E.,P,VA11,11/14/2023,2023-11-14,Gerald E. Connolly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024004.pdf
20022770,Crenshaw,Daniel,P,TX02,4/20/2023,2023-04-20,Daniel Crenshaw,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022770.pdf
20022249,Curtis,John,P,UT03,1/10/2023,2023-01-10,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022249.pdf
20022423,Curtis,John,P,UT03,2/13/2023,2023-02-13,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022423.pdf
20022561,Curtis,John,P,UT03,3/13/2023,2023-03-13,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022561.pdf
20022624,Curtis,John,P,UT03,3/27/2023,2023-03-27,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022624.pdf
20022721,Curtis,John,P,UT03,5/10/2023,2023-05-10,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022721.pdf
20023061,Curtis,John,P,UT03,6/2/2023,2023-06-02,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023061.pdf
20023444,Curtis,John,P,UT03,8/7/2023,2023-08-07,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023444.pdf
20023799,Curtis,John,P,UT03,10/4/2023,2023-10-04,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023799.pdf
20023867,Curtis,John,P,UT03,11/16/2023,2023-11-16,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023867.pdf
20024152,Curtis,John,P,UT03,12/15/2023,2023-12-15,John Curtis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024152.pdf
