congress,bioguide_id,committee_membership
113,B001251,House Committee on Energy and Commerce; House Committee on Energy and Commerce — Communications and Technology; House Committee on Energy and Commerce — Health; House Committee on Energy and Commerce — Oversight and Investigations
113,B001252,"House Committee on Energy and Commerce; House Committee on Energy and Commerce — Commerce, Manufacturing, and Trade; House Committee on Energy and Commerce — Energy and Power; House Committee on Energy and Commerce — Environment and the Economy; House Committee on Energy and Commerce — Health"
113,B001255,House Committee on Ways and Means; House Committee on Ways and Means — Human Resources; House Committee on Ways and Means — Oversight; House Committee on Ways and Means — Trade
113,B001256,House Committee on Financial Services; House Committee on Financial Services — Capital Markets and Government Sponsored Enterprises; House Committee on Financial Services — Oversight and Investigations; House Permanent Select Committee on Intelligence; House Permanent Select Committee on Intelligence — Oversight and Investigations; House Permanent Select Committee on Intelligence — Technical and Tactical Intelligence
113,B001257,"House Committee on Energy and Commerce; House Committee on Energy and Commerce — Commerce, Manufacturing, and Trade; House Committee on Energy and Commerce — Environment and the Economy; House Committee on Energy and Commerce — Health; House Committee on Veterans' Affairs; House Committee on Veterans' Affairs — Disability Assistance and Memorial Affairs"
113,B001259,House Committee on Energy and Commerce; House Committee on Energy and Commerce — Communications and Technology; House Committee on Energy and Commerce — Oversight and Investigations
113,B001260,House Committee on Ways and Means; House Committee on Ways and Means — Health; House Committee on Ways and Means — Trade
113,B001261,"Senate Committee on Energy and Natural Resources; Senate Committee on Energy and Natural Resources — National Parks; Senate Committee on Energy and Natural Resources — Public Lands, Forests, and Mining; Senate Committee on Energy and Natural Resources — Water and Power; Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works — Clean Air and Nuclear Safety; Senate Committee on Environment and Public Works — Transportation and Infrastructure; Senate Committee on Environment and Public Works — Water and Wildlife; Senate Committee on Foreign Relations; Senate Committee on Foreign Relations — African Affairs; Senate Committee on Foreign Relations — European Affairs; Senate Committee on Foreign Relations — International Development and Foreign Assistance, Economic Affairs, International Environmental Protection, and Peace Corps; Senate Committee on Foreign Relations — Western Hemisphere and Global Narcotics Affairs; Senate Committee on Indian Affairs"
113,B001262,"House Committee on Homeland Security; House Committee on Homeland Security — Counterterrorism and Intelligence; House Committee on Homeland Security — Oversight and Management Efficiency; House Committee on Natural Resources; House Committee on Natural Resources — Energy and Mineral Resources; House Committee on Natural Resources — Public Lands and Environmental Regulation; House Committee on Science, Space, and Technology; House Committee on Science, Space, and Technology — Environment; House Committee on Science, Space, and Technology — Oversight"
113,B001265,"Senate Committee on Appropriations; Senate Committee on Appropriations — Department of Homeland Security; Senate Committee on Appropriations — Department of the Interior, Environment, and Related Agencies; Senate Committee on Appropriations — Legislative Branch; Senate Committee on Appropriations — Military Construction and Veterans Affairs, and Related Agencies; Senate Committee on Appropriations — State, Foreign Operations, and Related Programs; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation — Aviation Operations, Safety, and Security; Senate Committee on Commerce, Science, and Transportation — Communications, Technology, and the Internet; Senate Committee on Commerce, Science, and Transportation — Oceans, Atmosphere, Fisheries, and Coast Guard; Senate Committee on Commerce, Science, and Transportation — Surface Transportation and Merchant Marine Infrastructure, Safety, and Security; Senate Committee on Commerce, Science, and Transportation — Tourism, Competitiveness, and Innovation; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Homeland Security and Governmental Affairs — Emergency Management, Intergovernmental Relations, and the District of Columbia; Senate Committee on Homeland Security and Governmental Affairs — Financial and Contracting Oversight; Senate Committee on Homeland Security and Governmental Affairs — the Efficiency and Effectiveness of Federal Programs and the Federal Workforce; Senate Committee on Indian Affairs; Senate Committee on Veterans' Affairs"
113,B001267,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Agriculture, Nutrition, and Forestry — Conservation, Forestry and Natural Resources; Senate Committee on Agriculture, Nutrition, and Forestry — Jobs, Rural Economic Growth and Energy Innovation; Senate Committee on Agriculture, Nutrition, and Forestry — Nutrition, Specialty Crops, Food and Agricultural Research; Senate Committee on Finance; Senate Committee on Finance — Energy, Natural Resources, and Infrastructure; Senate Committee on Finance — International Trade, Customs, and Global Competitiveness; Senate Committee on Finance — Taxation and IRS Oversight; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Health, Education, Labor, and Pensions — Children and Families; Senate Committee on Health, Education, Labor, and Pensions — Employment and Workplace Safety"
113,B001269,"House Committee on Education and the Workforce; House Committee on Education and the Workforce — Health, Employment, Labor, and Pensions; House Committee on Education and the Workforce — Higher Education and Workforce Training; House Committee on Homeland Security; House Committee on Homeland Security — Border and Maritime Security; House Committee on Homeland Security — Oversight and Management Efficiency; House Committee on Transportation and Infrastructure; House Committee on Transportation and Infrastructure — Economic Development, Public Buildings, and Emergency Management; House Committee on Transportation and Infrastructure — Highways and Transit; House Committee on Transportation and Infrastructure — Railroads, Pipelines, and Hazardous Materials"
113,B001270,"House Committee on Foreign Affairs; House Committee on Foreign Affairs — Africa, Global Health, Global Human Rights, and International Organizations; House Committee on the Judiciary; House Committee on the Judiciary — Courts, Intellectual Property, and the Internet; House Committee on the Judiciary — Crime, Terrorism, Homeland Security, and Investigations"
