bioguide_id,annee,n_trades,n_buy,buy_share,notional,n_tickers,sect_dom,n_days,vol,sharpe,ret_annee,exces_spy_annee
C001107,2021,,,,,,,252.0,0.1580255481856795,1.2700369954277235,0.20702556911708414,-0.0802617488799493
C001107,2022,,,,,,,251.0,0.23332422580531556,0.13178599956314,0.0036351099740494774,0.18538862358486485
C001107,2023,,,,,,,250.0,0.18760693676320342,0.8210799683056904,0.14512539765899324,-0.11663256941033762
C001107,2024,,,,,,,252.0,0.16531243819431668,0.7068157238618832,0.10876089037922898,-0.14010379005888085
C001107,2025,,,,,,,250.0,0.20771981626642597,0.9578713839788743,0.19256635273928646,0.015375797620140075
C001107,2026,,,,,,,125.0,0.18088647413188697,0.8419442418625767,0.06978550456859511,-0.0281995887191544
C001108,2020,3.0,0.0,0.0,24001.5,3.0,Consumer Discretionary,,,,,
C001108,2024,1.0,0.0,0.0,8000.5,1.0,Industrials,,,,,
C001108,2025,40.0,29.0,0.725,320020.0,24.0,Information Technology,250.0,0.2543594493650779,0.969206886764103,0.23693310668198952,0.05974255156284314
C001108,2026,,,,,,,125.0,0.1994492547739178,-0.019691755771671447,-0.011686010851924222,-0.10967110413967374
C001111,2017,14.0,3.0,0.21428571428571427,380007.0,11.0,Energy,218.0,0.062439701810667,1.667753154241469,0.09240628080645896,-0.06480204955602198
C001111,2018,,,,,,,251.0,0.08101128739916195,-0.4642046824286214,-0.039899311156028516,0.005790787414269194
C001111,2019,,,,,,,252.0,0.07415474981101258,3.119952742086498,0.2567278808140019,-0.05551064221576718
C001111,2020,,,,,,,253.0,0.23127046003876126,0.38612341482910517,0.06436688029334015,-0.11894960698546986
C001111,2021,,,,,,,252.0,0.09476461925106097,1.2596429145165264,0.12172204917359375,-0.1655652688234397
C001111,2022,,,,,,,251.0,0.18143947706022995,-1.7611100096222372,-0.2845293992778949,-0.10277588566707951
C001111,2023,,,,,,,250.0,0.1286272981531191,0.21878679395314965,0.01993706223719638,-0.24182090483213448
C001111,2024,,,,,,,252.0,0.1047525656806311,1.032645130161278,0.10813390459090955,-0.14073077584720028
C001111,2025,,,,,,,250.0,0.1076864235187173,1.081961013463886,0.11607019239703265,-0.06112036272211374
C001111,2026,,,,,,,125.0,0.12620008749671602,0.8791506650241113,0.05243255483938891,-0.0455525384483606
C001114,2019,12.0,5.0,0.4166666666666667,187506.0,7.0,Consumer Discretionary,172.0,0.2784350062090751,-0.7625130025818114,-0.15813011760424223,-0.2709632170698384
C001114,2020,62.0,55.0,0.8870967741935484,759031.0,54.0,Financials,253.0,0.3037424886891218,1.08394417820036,0.32810239906332495,0.14478591178451494
C001114,2021,54.0,23.0,0.42592592592592593,481027.0,48.0,Information Technology,252.0,0.15029925995502277,1.7731911815190142,0.29061912923879474,0.0033318112417612955
C001114,2022,47.0,24.0,0.5106382978723404,376023.5,37.0,Financials,251.0,0.2668410209270326,-0.7916103709767808,-0.21796258072154684,-0.03620906711073146
C001114,2023,104.0,15.0,0.14423076923076922,905552.0,61.0,Information Technology,250.0,0.14401000567702124,2.216938172170711,0.3584010890327143,0.09664312196338343
C001114,2024,,,,,,,252.0,0.14580203130311578,1.4958943858510172,0.23050506366983936,-0.01835961676827047
C001114,2025,,,,,,,250.0,0.2070971893319991,0.7955634274899799,0.15305906651026757,-0.024131488608878815
C001114,2026,,,,,,,125.0,0.1756338031793911,1.4145160830006756,0.12254463448981645,0.024559541202066937
C001119,2019,39.0,18.0,0.46153846153846156,312019.5,17.0,Consumer Discretionary,236.0,0.1744650966635688,0.42590889521709335,0.05692932875567114,-0.18744417977364014
C001119,2020,,,,,,,253.0,0.3774139230785854,1.6036149423471882,0.7091560655976299,0.5258395783188199
C001119,2021,,,,,,,252.0,0.2340095988705134,0.2228041035772685,0.025079234749010748,-0.2622080832480227
C001119,2022,,,,,,,251.0,0.4856781206456931,-1.114733257529437,-0.4816660707593414,-0.29991255714852605
C001119,2023,,,,,,,250.0,0.31896845958456105,1.967101307644729,0.7713087622518475,0.5095507951825167
C001119,2024,,,,,,,252.0,0.27096734716368664,1.4870103646652912,0.4420534639111444,0.1931887834730346
C001119,2025,,,,,,,250.0,0.3315811613781501,0.3233275033722939,0.05376359751186288,-0.1234269576072835
C001119,2026,,,,,,,125.0,0.3040049575245784,0.4597273605364418,0.047641844352531715,-0.0503432489352178
C001120,2020,8.0,8.0,1.0,64004.0,7.0,Industrials,205.0,0.499676924329013,1.9926526554202477,1.029693153590228,0.6415088303170373
C001120,2021,12.0,5.0,0.4166666666666667,120506.0,6.0,Consumer Discretionary,252.0,0.40602559768490337,1.273996444963193,0.5444608814924552,0.25717356349542175
C001120,2022,12.0,7.0,0.5833333333333334,120506.0,11.0,Consumer Discretionary,251.0,0.6184339938873042,-0.5726854371446092,-0.4191734461300186,-0.23741993251920324
C001120,2023,1.0,1.0,1.0,8000.5,1.0,,250.0,0.25339876018861557,1.389783827633709,0.3735298838061518,0.11177191673682096
C001120,2024,,,,,,,252.0,0.22353083758166453,1.9214024579932594,0.49826386054551564,0.2493991801074058
C001120,2025,,,,,,,250.0,0.35349201860445534,0.6956519196513489,0.1998011142287084,0.022610559109562
C001120,2026,,,,,,,125.0,0.25119777105815055,0.22342823556704458,0.012362671241259227,-0.08562242204649029
C001123,2019,344.0,174.0,0.5058139534883721,4350672.0,171.0,Information Technology,240.0,0.16160618416449973,2.2318368976881606,0.39218628289708324,0.14502087298155142
C001123,2020,605.0,343.0,0.5669421487603306,6210802.5,300.0,Information Technology,253.0,0.3783015153834907,0.9631253384839558,0.34063151797830904,0.15731503069949904
C001123,2021,,,,,,,252.0,0.16126731117631016,1.266543296541216,0.21072053001327462,-0.07656678798375882
C001123,2022,,,,,,,251.0,0.2770178056468679,-0.7215132495762384,-0.21122149647392097,-0.02946798286310559
C001123,2023,,,,,,,250.0,0.1520621260794119,1.562680871874464,0.25135520106838793,-0.01040276600094292
C001123,2024,,,,,,,252.0,0.13536074235324752,1.501682184225847,0.21416751938117096,-0.034697161056938874
C001123,2025,738.0,452.0,0.6124661246612466,7600369.0,306.0,Information Technology,250.0,0.1945625916245791,0.69954559353554,0.12346846729974037,-0.05372208781940602
C001123,2026,601.0,365.0,0.6073211314475874,6631800.5,285.0,Information Technology,125.0,0.15003574692889143,1.5422990944905646,0.11538661536242945,0.01740152207467993
D000032,2021,63.0,46.0,0.7301587301587301,528531.5,40.0,Industrials,251.0,0.20996579289451964,1.120441479377882,0.23657417015657312,-0.06848006978247079
D000032,2022,57.0,30.0,0.5263157894736842,456028.5,23.0,Health Care,251.0,0.24283368493888466,-1.07740090433485,-0.2517497439332711,-0.06999623032245572
D000032,2023,42.0,22.0,0.5238095238095238,336021.0,20.0,Information Technology,250.0,0.13544654225392763,1.5506878486170552,0.22045616584344696,-0.041301801225883894
D000032,2024,29.0,14.0,0.4827586206896552,232014.5,14.0,Information Technology,252.0,0.1559508181984808,1.0537507181903798,0.16435030772319226,-0.08451437271491757
D000032,2025,118.0,60.0,0.5084745762711864,944059.0,39.0,Financials,250.0,0.22290627330410218,0.7723270565808708,0.15762898861891772,-0.019561566500228666
D000032,2026,26.0,12.0,0.46153846153846156,208013.0,11.0,Communication Services,125.0,0.21348534402509955,1.363096080323739,0.14233108556878626,0.04434599228103675
D000355,2013,2.0,1.0,0.5,40501.0,2.0,Energy,6.0,,,,
D000355,2014,25.0,19.0,0.76,371512.5,16.0,Energy,252.0,0.1374659518771612,1.6945102832511612,0.2503695811476656,0.11573157179104498
D000355,2015,,,,,,,252.0,0.19041432423844268,-0.33027127784829197,-0.07776986281369358,-0.09011251493985584
D000355,2016,,,,,,,252.0,0.1673293171411854,0.8928292343571971,0.1450325883089416,0.025053472630892637
D000355,2017,,,,,,,251.0,0.09017720969399519,2.9581010935423464,0.2989106734571594,0.08185675891737021
D000355,2018,,,,,,,251.0,0.18491453136573466,-0.41005241554804783,-0.088417746162617,-0.042727647592319284
D000355,2019,,,,,,,252.0,0.1595975118517396,2.8842374643261506,0.5639259861721828,0.25168746314241375
D000355,2020,,,,,,,253.0,0.39617098905651726,0.9750154175988806,0.36163283283947956,0.17831634556066955
D000355,2021,,,,,,,252.0,0.17632490495065556,1.974048083410189,0.39422639057843534,0.1069390725814019
D000355,2022,,,,,,,251.0,0.31601056143891626,-0.6302928975332563,-0.21960079821604295,-0.03784728460522757
D000355,2023,,,,,,,250.0,0.17800378434198674,1.858931669207055,0.366759016310241,0.10500104924091014
D000355,2024,,,,,,,252.0,0.15810590022262797,1.514606367403612,0.254684645682417,0.005819965244307168
D000355,2025,,,,,,,250.0,0.2550135952009865,0.2823066558342706,0.04035854354837687,-0.13683201157076952
D000355,2026,,,,,,,125.0,0.2059522210712475,0.5982898547334942,0.0519577492317016,-0.046027344056047914
D000399,2013,1.0,1.0,1.0,8000.5,1.0,Information Technology,14.0,,,,
D000399,2014,10.0,10.0,1.0,80005.0,2.0,Information Technology,252.0,0.13352369075882364,-0.05745675565170271,-0.016438999593243908,-0.15107700894986453
D000399,2015,16.0,16.0,1.0,128008.0,3.0,Information Technology,252.0,0.1686273271380376,-0.4154576788808745,-0.08081642192405736,-0.09315907405021961
D000399,2016,17.0,17.0,1.0,136008.5,4.0,Information Technology,252.0,0.138982927308541,1.1469435416110088,0.1615015345832147,0.041522418905165726
D000399,2017,22.0,22.0,1.0,176011.0,5.0,Consumer Staples,251.0,0.09161931783311825,1.1081896402149145,0.101817285731711,-0.11523662880807817
D000399,2018,20.0,20.0,1.0,160010.0,5.0,Consumer Staples,251.0,0.16932160134460622,-0.4885169817108003,-0.0921680719057778,-0.046477973335480094
D000399,2019,20.0,20.0,1.0,160010.0,6.0,Consumer Staples,252.0,0.12965453787879777,2.1023507390061718,0.3022231852097217,-0.010015337820047376
D000399,2020,20.0,20.0,1.0,160010.0,5.0,Consumer Staples,253.0,0.3288118062827511,0.46917740254114587,0.10567090317891448,-0.07764558409989553
D000399,2021,20.0,20.0,1.0,160010.0,5.0,Consumer Staples,252.0,0.12753523541140568,1.956293952513405,0.2728647847020571,-0.014422533294976336
D000399,2022,23.0,23.0,1.0,184011.5,6.0,Consumer Staples,251.0,0.19811737631764892,-0.24546830673998304,-0.06567667291165036,0.11607684069916502
D000399,2023,24.0,24.0,1.0,192012.0,6.0,Consumer Staples,250.0,0.11956837464889956,0.8120557707468764,0.0933416817052406,-0.16841628536409026
D000399,2024,24.0,24.0,1.0,192012.0,6.0,Consumer Staples,252.0,0.12160896607126624,1.3611822391976467,0.17130696791644584,-0.07755771252166399
D000399,2025,17.0,17.0,1.0,136008.5,6.0,Consumer Staples,250.0,0.16809467446771603,0.6508355934763544,0.09921598463145331,-0.07797457048769307
D000399,2026,7.0,7.0,1.0,56003.5,6.0,Consumer Staples,125.0,0.20894781681028124,0.8168444986031945,0.07671765395482755,-0.021267439332921967
D000482,2017,3.0,0.0,0.0,24001.5,3.0,Energy,,,,,
D000598,2014,3.0,2.0,0.6666666666666666,97501.5,3.0,Consumer Discretionary,202.0,0.25471955428448584,1.9206579186468786,0.44180889148967384,0.30698653442995316
D000598,2015,8.0,5.0,0.625,253504.0,6.0,Industrials,252.0,0.2101493982031294,0.6886602635703138,0.13053016392119243,0.11818751179503018
D000598,2016,11.0,3.0,0.2727272727272727,284005.5,9.0,Consumer Discretionary,252.0,0.22526539038604057,0.3848158688890868,0.06313217531229598,-0.056846940365752996
D000598,2017,7.0,3.0,0.42857142857142855,129503.5,6.0,Consumer Staples,251.0,0.16091054895977353,1.8084743882141716,0.31898426689647286,0.10193035235668368
D000598,2018,5.0,3.0,0.6,64502.5,5.0,Communication Services,251.0,0.21630323677630348,-0.3491360935843882,-0.09383990685776589,-0.04814980828746818
D000598,2019,6.0,3.0,0.5,121503.0,5.0,Communication Services,252.0,0.16770836863074948,1.6431408117491815,0.2987449995475788,-0.01349352348219024
D000598,2020,18.0,13.0,0.7222222222222222,389009.0,12.0,Information Technology,253.0,0.3958295725989096,0.48199608957200024,0.11866416614499808,-0.06465232113381192
D000598,2021,,,,,,,252.0,0.23625802196937853,1.5682820882761015,0.40845989702094254,0.1211725790239091
D000598,2022,,,,,,,251.0,0.38953220266139293,-0.7865857221204405,-0.31681581211797294,-0.13506229850715756
D000598,2023,,,,,,,250.0,0.24506708851428788,1.0406167063297669,0.24924519372878962,-0.012512773340541239
D000598,2024,,,,,,,252.0,0.21529606309380647,1.3265017018851244,0.3003762454853698,0.051511565047259955
D000598,2025,,,,,,,250.0,0.2920191782065335,0.3735092333161942,0.06814417902140679,-0.1090463760977396
D000598,2026,,,,,,,125.0,0.27141642996866305,2.785184357294363,0.42836418320177194,0.33037908991402243
D000600,2017,3.0,0.0,0.0,24001.5,3.0,Information Technology,,,,,
D000604,2015,6.0,0.0,0.0,48003.0,2.0,Financials,,,,,
D000613,2014,1.0,1.0,1.0,8000.5,1.0,Communication Services,1.0,,,,
D000613,2015,,,,,,,252.0,0.2258350821905691,0.6519360194648154,0.1292988759347562,0.11695622380859394
