year,filing_type,filing_date_raw,filing_date,doc_id,last_name,first_name,declarant_name_raw,state_dst,pdf_url,source_xml_path
2026,P,5/20/2026,2026-05-20,20034607,Kelly,Mike,Mike Kelly,PA16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034607.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/11/2026,2026-06-11,20034767,Kelly,Mike,Mike Kelly,PA16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034767.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/6/2026,2026-02-06,8221322,Khanna,Rohit,Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/8221322.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/9/2026,2026-03-09,8221358,Khanna,Rohit,Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/8221358.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/7/2026,2026-04-07,9115726,Khanna,Rohit,Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115726.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/11/2026,2026-05-11,9115822,Khanna,Rohit,Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115822.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/9/2026,2026-06-09,9116142,Khanna,Rohit,Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9116142.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/14/2026,2026-01-14,20033814,Larsen,Rick,Rick Larsen,WA02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033814.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/15/2026,2026-04-15,20034351,Larsen,Rick,Rick Larsen,WA02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034351.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/23/2026,2026-01-23,20033857,Latta,Robert E.,Robert E. Latta,OH05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033857.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/24/2026,2026-04-24,20034401,Latta,Robert E.,Robert E. Latta,OH05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034401.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/5/2026,2026-06-05,20034726,Latta,Robert E.,Robert E. Latta,OH05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034726.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/4/2026,2026-06-04,20034552,Lee,Susie,Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034552.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/13/2026,2026-01-13,20030977,Letlow,Julia,Julia Letlow,LA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20030977.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/12/2026,2026-03-12,20034106,Letlow,Julia,Julia Letlow,LA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034106.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/6/2026,2026-01-06,20033738,Lofgren,Zoe,Zoe Lofgren,CA18,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033738.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/9/2026,2026-01-09,20033695,Matsui,Doris O.,Doris O. Matsui,CA07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033695.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/11/2026,2026-02-11,8221326,McCaul,Michael T.,Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/8221326.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/10/2026,2026-03-10,8221359,McCaul,Michael T.,Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/8221359.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/8/2026,2026-04-08,9115728,McCaul,Michael T.,Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115728.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/4/2026,2026-05-04,9115820,McCaul,Michael T.,Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115820.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/10/2026,2026-06-10,9116141,McCaul,Michael T.,Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9116141.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/7/2026,2026-01-07,20033736,McClain,Lisa,Lisa McClain,MI09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033736.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/11/2026,2026-02-11,20033964,McClain,Lisa,Lisa McClain,MI09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033964.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/4/2026,2026-03-04,20034105,McClain,Lisa,Lisa McClain,MI09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034105.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/16/2026,2026-04-16,20034311,McClellan,Jennifer,Jennifer McClellan,VA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034311.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/7/2026,2026-04-07,20033648,McCormick,Richard Dean Dr,Richard Dean Dr McCormick,GA06,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033648.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/12/2026,2026-05-12,20034542,McCormick,Richard Dean Dr,Richard Dean Dr McCormick,GA06,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034542.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/10/2026,2026-02-10,20033956,McGuire,John,John McGuire,VA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033956.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/13/2026,2026-05-13,20034521,McGuire,John,John McGuire,VA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034521.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/10/2026,2026-06-10,20034748,McGuire,John,John McGuire,VA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034748.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,6/1/2026,2026-06-01,20034099,Menefee,Christian D.,Christian D. Menefee,TX18,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034099.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,2/17/2026,2026-02-17,20034016,Meuser,Daniel,Daniel Meuser,PA09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034016.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/3/2026,2026-04-03,20034158,Meuser,Daniel,Daniel Meuser,PA09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034158.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/21/2026,2026-04-21,20034359,Meuser,Daniel,Daniel Meuser,PA09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034359.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/21/2026,2026-05-21,20034547,Meuser,Daniel,Daniel Meuser,PA09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034547.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/29/2026,2026-01-29,20033881,Miller,Max,Max Miller,OH07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033881.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,3/30/2026,2026-03-30,20034247,Miller,Max,Max Miller,OH07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034247.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,4/28/2026,2026-04-28,20034419,Miller,Max,Max Miller,OH07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034419.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,5/29/2026,2026-05-29,20034651,Miller,Max,Max Miller,OH07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034651.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/7/2026,2026-01-07,20033746,Moore,Tim,Tim Moore,NC14,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033746.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
2026,P,1/24/2026,2026-01-24,20033856,Moore,Tim,Tim Moore,NC14,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033856.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/index/2026FD.xml
