bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index,provenance,date_confidence,ticker_source,sector_source,years_in_office
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-28,2019-07-08,SFTBY,Softbank Corp unsponsored aDR,Stock,Communication Services,XLC,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,b171321811ce6d870faf06faf4b6cc002b340dfb678c4ab06c2adfe5bf5a33a4,3,house-pdf-electronic,,,yfinance,0
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-28,2019-07-08,SFTBY,Softbank Corp unsponsored aDR,Stock,Communication Services,XLC,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,b171321811ce6d870faf06faf4b6cc002b340dfb678c4ab06c2adfe5bf5a33a4,2,house-pdf-electronic,,,yfinance,0
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-28,2019-07-08,SFTBY,Softbank Corp unsponsored aDR,Stock,Communication Services,XLC,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,b171321811ce6d870faf06faf4b6cc002b340dfb678c4ab06c2adfe5bf5a33a4,1,house-pdf-electronic,,,yfinance,0
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-28,2019-07-08,SMECF,Smc Cp Ordinary Shares,Stock,Industrials,XLI,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,51abd573bd9463466d297b30b04caa3018b96cc3c43dcf61cee0575e9c702c0c,0,house-pdf-electronic,,,yfinance,0
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-28,2019-07-08,SHECY,Shin-Etsu Chemical Co ltd unsponsored aDR,Stock,Materials,XLB,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,5177ba80a208f7a63a2b7a714a8eaaa0bcb7332636c29dca07199f643ae84664,0,house-pdf-electronic,,,yfinance,0
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-29,2019-07-08,AMZN,"amazon.com, Inc.",Stock,Consumer Discretionary,XLY,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,b0d5dfc00d8ef4a77f56e4435145720ff50a4977ce45bb17aacffa3b338fec84,0,house-pdf-electronic,,,yfinance,0
S001207,Mikie Sherrill,house,Democrat,NJ11,,False,2019-05-28,2019-07-08,TSM,Taiwan Semiconductor,Stock,Information Technology,XLK,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011886,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011886.pdf,c9ae666a0aa9000718d18538af85442ae6cd18e41a822c26f761a719576db7ec,1,house-pdf-electronic,,,yfinance,0
D000399,Lloyd Doggett,house,Democrat,TX35,HSWM02; HSWM04; HSWM06; House Committee on Ways and Means; House Committee on the Budget; Joint Committee on Taxation,False,2019-06-13,2019-07-05,PPG,"PPg Industries, Inc.",Stock,Materials,XLB,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20011938,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011938.pdf,3136b0a8fc4bb66ae9264ae999f3428bd8baa035bb68305414576c1f9d1bc908,0,house-pdf-electronic,,,yfinance,24
D000399,Lloyd Doggett,house,Democrat,TX35,HSWM02; HSWM04; HSWM06; House Committee on Ways and Means; House Committee on the Budget; Joint Committee on Taxation,False,2019-06-12,2019-07-05,JNJ,Johnson & Johnson,Stock,Health Care,XLV,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20011938,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011938.pdf,8c532ea9d278894cd0a3cec139edcabef6a78df8bc5a11581ec932572081e7b8,0,house-pdf-electronic,,,yfinance,24
D000399,Lloyd Doggett,house,Democrat,TX35,HSWM02; HSWM04; HSWM06; House Committee on Ways and Means; House Committee on the Budget; Joint Committee on Taxation,False,2019-06-11,2019-07-05,IBM,International Business Machines Corporation,Stock,Information Technology,XLK,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20011938,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011938.pdf,ca25d4da56242577ac652c3c30bda95619be2139e9aeac7a199ef1e33ebc0df5,0,house-pdf-electronic,,,yfinance,24
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2019-06-12,2019-07-03,,Bank America Corp,CS,,,Purchase,"$1,001 - $15,000",8000.5,False,SP,20011928,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011928.pdf,5d4082e64eff41eb146af101972501cbf33d5268afa0e08600e9089873b5b580,0,house-pdf-electronic,,,none,6
L000559,James R. Langevin,house,Democrat,RI02,,False,2019-06-17,2019-07-03,HUYA,HuYa Inc. american depositary a ordinary share,Stock,Communication Services,XLC,Sale,"$100,001",100001.0,False,SELF,20011936,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011936.pdf,2f57821924da62a2c87f03c106777971474c0b63ddd113269ac72f3921a61c36,0,house-pdf-electronic,,,yfinance,18
B000574,Earl Blumenauer,house,Democrat,OR03,,False,2019-06-26,2019-07-03,KR,Kroger Company,Stock,Consumer Staples,XLP,Purchase,"$1,001 - $15,000",8000.5,False,SP,20011929,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011929.pdf,c968d95b259e25d08bdc3d074c5104b8d0565cad6545deed7a5d13ba824e3373,0,house-pdf-electronic,,,yfinance,23
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2019-06-20,2019-07-03,SPY,SPDR S&P 500,Stock,,,Purchase,$295,295.0,False,SP,20011928,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011928.pdf,abd69a58072fab5814a6a2f9992db6751445d992a9fbef92a6f5285991b4cebe,0,house-pdf-electronic,,,manual,6
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2019-06-19,2019-07-03,,general Mls Inc,CS,,,Purchase,"$1,001 - $15,000",8000.5,False,SP,20011928,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011928.pdf,b463edd6203b36269b1d01d1dfc9caae75bb71ca5c2529bf854579626d97ca58,0,house-pdf-electronic,,,none,6
L000559,James R. Langevin,house,Democrat,RI02,,False,2019-06-27,2019-07-03,HUYA,HuYa Inc. american depositary a ordinary share,Stock,Communication Services,XLC,Purchase,"$50,001",50001.0,False,SELF,20011936,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011936.pdf,9fe2297ae6a452b0f7cc711d84537e8ea9b70270936c882200ec881f36c66bf8,0,house-pdf-electronic,,,yfinance,18
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,BRK.B,"berkshire Hathaway Inc. New   $50,000",Stock,Financials,XLF,Sale,"$15,001",15001.0,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,8c614ad1c41a1c57e9daf8167256fc2cb3b041fe88e057c34dcf18766161077d,0,house-pdf-electronic,,,llm,12
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,CHTR,"Charter Communications, Inc. - Class A",Stock,Communication Services,XLC,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,3e8360fee3143bf303f1ef371175ceb23abe8f0c350bf8f5c880585e3cb95dd4,0,house-pdf-electronic,,,yfinance,12
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,IBM,International business Machines Corporation,Stock,Information Technology,XLK,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,de8a0e4a33d0e3d081b40d64919590d9d8af3aa2f5f1383a4f13edac24991021,0,house-pdf-electronic,,,yfinance,12
C001068,Steve Cohen,house,Democrat,TN09,HLIG02; HLIG11; HSJU01; HSJU08; HSJU10; House Committee on the Judiciary; House Permanent Select Committee on Intelligence,True,2019-06-24,2019-07-03,HCP,"HCP, Inc.",Stock,Real Estate,XLRE,Sale,"$1,001 - $15,000",8000.5,False,SELF,20011935,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011935.pdf,06da4e8ff7fbfe5865f3b2c074d2068281350ae680541a834a0e1690a9d3eaba,0,house-pdf-electronic,,,llm,12
