year,doc_id,filing_date,declarant_name_raw,state_dst,pdf_url,local_path,http_status,download_status,file_size_bytes,sha256,content_type,n_pages,text_extractable_flag,downloaded_at,error_message
2025,20030212,2025-04-22,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030212.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030212.pdf,200,ok,85846,f3786d1acf5e1959637814c13b86ef0c8039535029f6f898fe5b2a3392284c69,application/pdf,4,True,2026-06-23T16:04:19+00:00,
2025,20030238,2025-04-28,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030238.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030238.pdf,200,ok,111960,d27b63767f9aa5901d811941c8db96b3947e57033ac38a6645ac55562abe97f8,application/pdf,7,True,2026-06-23T16:04:20+00:00,
2025,20030291,2025-05-08,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030291.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030291.pdf,200,ok,179249,8fea7cd2760c902bb966b5fc5b8ff60f6716049f34adfb8ed846ebebc12d9caf,application/pdf,15,True,2026-06-23T16:04:20+00:00,
2025,20030312,2025-05-11,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030312.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030312.pdf,200,ok,70253,2af5a8af62571d182ae882413a7308c9df7a325997ff17772c2bc0cd0846c5e1,application/pdf,2,True,2026-06-23T16:04:21+00:00,
2025,20030336,2025-05-12,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030336.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030336.pdf,200,ok,65425,116b3fe1426e1710b460d6a410258a49d49be99a233acba649273a4d2415b7c3,application/pdf,1,True,2026-06-23T16:04:21+00:00,
2025,20030433,2025-05-31,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030433.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030433.pdf,200,ok,108846,331125ea56ca02efb3dfcc51ddd2a02c1b342f5271d8595786ee5a0ec5dcb9ba,application/pdf,6,True,2026-06-23T16:04:22+00:00,
2025,20030482,2025-06-09,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030482.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030482.pdf,200,ok,116212,44ab28b42d57b2b2a3e2d0ab16b775b3bf522fb4d88c75432f7eb4c8ff6a4b50,application/pdf,7,True,2026-06-23T16:04:22+00:00,
2025,20030546,2025-06-23,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030546.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030546.pdf,200,ok,77106,8f0ca89db08dc435b7f8ac3cf5bc1864da7cc77e48d6d8ffe976a9ef61f2e1fe,application/pdf,3,True,2026-06-23T16:04:23+00:00,
2025,20030635,2025-07-08,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030635.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030635.pdf,200,ok,112062,7d4f556ad9b5fc324c609a587b82f781271caa83d4579e8f9d43a5d5f9fac06f,application/pdf,5,True,2026-06-23T16:04:23+00:00,
2025,20030857,2025-08-25,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030857.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030857.pdf,200,ok,68665,e23b6c6b2a1f96f6bc02c3a1a7ea1839273560e136a79728e3189273697dc639,application/pdf,2,True,2026-06-23T16:04:24+00:00,
