doc_id,http_status,bytes
9109903,200,393101
9110046,200,485096
9110126,200,470108
9110230,200,533631
9110306,200,546954
20004385,200,73064
20004652,200,70421
20004760,200,55150
20005186,200,52248
20006069,200,52985
20006215,200,52797
9110286,200,26191
20004839,200,81324
20005608,200,76866
20005989,200,52016
20006106,200,74286
9108788,200,30938
20005429,200,51575
9110213,200,31731
20005180,200,62264
20003690,200,66873
20005451,200,53659
20005444,200,59788
20005585,200,51199
20005895,200,50235
20006210,200,50289
20006366,200,50210
20006202,200,50078
20004474,200,69299
20004795,200,54716
20004848,200,51667
20004934,200,74367
20005282,200,51667
20005348,200,51664
20005387,200,51668
20005418,200,51867
20005427,200,51525
20005489,200,51869
20005527,200,74584
20005777,200,51917
20006067,200,75302
20006191,200,51570
20005447,200,51178
20005793,200,51287
20004503,200,69015
20004596,200,68349
20005096,200,52170
20005689,200,51264
20004433,200,66521
20004514,200,67380
20004744,200,50494
20005066,200,50784
20005319,200,50343
20005542,200,49855
20005695,200,50864
20005858,200,50768
20005873,200,51164
20006169,200,49734
9108302,200,77046
9108459,200,56910
9108590,200,57409
9108797,200,53786
9109456,200,77730
9109680,200,57800
9109844,200,56698
9109985,200,53317
9110125,200,62251
9110189,200,54955
9110228,200,29775
9110285,200,62001
20004478,200,67478
20004479,200,68825
20005030,200,50735
20005245,200,50181
20005700,200,50565
20005764,200,53199
20006241,200,50795
20006249,200,51261
20006409,200,52328
9108321,200,33404
9108474,200,100111
9108588,200,376584
9108796,200,32926
9110002,200,66284
9108214,200,428969
9108265,200,360717
9108364,200,401241
9108417,200,175908
9108473,200,153919
9108564,200,222915
9108592,200,177289
9108687,200,175954
9109037,200,127151
9109455,200,172786
9109514,200,100163
9109571,200,176703
9109677,200,107528
9109789,200,149989
9109952,200,153268
9109974,200,127902
9110043,200,80960
9110089,200,127691
9110139,200,125418
9110188,200,130014
9110226,200,130404
9110263,200,127010
9110307,200,168940
20004463,200,68895
20004658,200,72376
20004804,200,51927
20004999,200,66784
20005069,200,74006
20005243,200,53024
20005423,200,55351
20005774,200,52055
20006112,200,54227
20006425,200,56588
9108252,200,64159
9108458,200,92440
9108559,200,124528
9108795,200,64215
9109472,200,34532
9109921,200,96426
9110023,200,68017
9110124,200,125476
9110187,200,66426
9110297,200,62950
9108305,200,51934
9108428,200,51172
9108560,200,31188
9108794,200,31880
9109454,200,73109
9109607,200,32274
9109808,200,32163
9109984,200,29649
9110123,200,30089
9110186,200,29441
9110262,200,29959
20005337,200,51926
20006243,200,50869
20004462,200,70306
20005523,200,51222
20005876,200,51965
9108457,200,32983
9108652,200,63507
9108653,200,31893
9108792,200,33871
9109453,200,29928
9109543,200,31994
9109973,200,32642
9110168,200,31704
9110296,200,61834
9108304,200,89121
9108472,200,181156
9108561,200,139331
9108793,200,29901
9109451,200,217382
9109668,200,180558
9109941,200,122944
9109983,200,160529
9110122,200,120307
9110212,200,122775
9110277,200,209371
9108591,200,315267
9109605,200,64506
9109606,200,32606
9110041,200,67503
9110248,200,62721
9110022,200,41603
9108320,200,60295
9108426,200,31163
9108525,200,33975
9108654,200,34410
20003197,200,99304
20005202,200,52051
20005294,200,53489
20005586,200,50563
20005606,200,51246
20006123,200,50245
20006168,200,50743
20006170,200,50688
20006414,200,50521
20004748,200,52672
20004890,200,53069
20004694,200,68061
20005133,200,51073
20005262,200,50681
20005809,200,51311
20006310,200,50678
20004375,200,71535
20004518,200,81214
20004725,200,60851
20004888,200,55646
20005036,200,51485
20005045,200,52153
20005138,200,54268
20005255,200,52412
20005465,200,56705
20005679,200,57018
20005828,200,55459
20005996,200,51877
20006136,200,53821
20006317,200,53036
9108686,200,67471
9109706,200,66475
9110143,200,132227
9108251,200,52382
9108798,200,34934
9108562,200,33321
9109840,200,37005
9110021,200,34314
9110247,200,33727
20004326,200,83751
20004496,200,73988
20004674,200,77800
20004849,200,55262
20005031,200,64706
20005261,200,61804
20005441,200,56908
20005633,200,82508
20005790,200,82683
20005933,200,85311
20006114,200,81565
20006281,200,81907
20005701,200,50096
20005757,200,61740
9108381,200,60490
9108593,200,33312
9108614,200,33263
9109046,200,32202
9109660,200,36175
9109788,200,32191
9110000,200,34497
9110211,200,34829
9110295,200,63324
9110001,200,31476
9110301,200,31906
20005313,200,51226
9109572,200,32571
9109807,200,33506
9109972,200,32149
9110177,200,29721
9110185,200,31501
20004858,200,50952
20005420,200,53900
20006076,200,50960
20006428,200,55014
9108402,200,32512
9108524,200,58905
9108685,200,33124
9109452,200,62723
9109573,200,60387
9109901,200,51798
9109971,200,61099
9110088,200,68840
9110176,200,61142
9110261,200,89107
20004422,200,73345
20004444,200,76322
20004722,200,74075
20004887,200,51792
20005070,200,50560
20005314,200,54277
20005541,200,50262
20005642,200,54826
20005698,200,52007
20005874,200,52308
20006052,200,51219
20001144,200,54250
20004634,200,67985
20005248,200,51814
20005616,200,52106
20006109,200,53709
20004342,200,66268
20004469,200,69307
20004759,200,60090
20005539,200,52872
20005490,200,51663
20005581,200,53053
