bioguide_id,declarant_name,last,first,party,chamber,state,district
A000114,Asa Allen,Allen,Asa,Democrat,house,LA,8.0
A000196,John Anderson,Anderson,John,Republican,house,CA,8.0
A000218,Orland Armstrong,Armstrong,Orland,Republican,house,MO,6.0
B000080,Claude Bakewell,Bakewell,Claude,Republican,house,MO,11.0
B000237,Joseph Bates,Bates,Joseph,Democrat,house,KY,8.0
B000515,William Blackney,Blackney,William,Republican,house,MI,6.0
B000649,Reva Bosone,Bosone,Reva,Democrat,house,UT,2.0
B000792,Edward Breen,Breen,Edward,Democrat,house,OH,3.0
B000794,Walter Brehm,Brehm,Walter,Republican,house,OH,11.0
B001002,Frank Buchanan,Buchanan,Frank,Democrat,house,PA,33.0
B001039,Howard Buffett,Buffett,Howard,Republican,house,NE,2.0
B001148,Clarence Burton,Burton,Clarence,Democrat,house,VA,6.0
B001179,John Butler,Butler,John,Republican,house,NY,44.0
B001214,William Byrne,Byrne,William,Democrat,house,NY,32.0
C000504,Louis Clemente,Clemente,Louis,Democrat,house,NY,4.0
C000606,Albert Cole,Cole,Albert,Republican,house,KS,1.0
C000655,Jesse Combs,Combs,Jesse,Democrat,house,TX,2.0
C000831,Edward Cox,Cox,Edward,Democrat,house,GA,2.0
C000889,Fred Crawford,Crawford,Fred,Republican,house,MI,8.0
D000249,Harmar Denny,Denny,Harmar,Republican,house,PA,29.0
D000448,Robert Doughton,Doughton,Robert,Democrat,house,NC,9.0
E000023,Charles Eaton,Eaton,Charles,Republican,house,NJ,5.0
E000160,Charles Elston,Elston,Charles,Republican,house,OH,1.0
F000066,Frank Fellows,Fellows,Frank,Republican,house,ME,3.0
F000399,Thomas Fugate,Fugate,Thomas,Democrat,house,VA,9.0
F000431,John Furcolo,Furcolo,John,Democrat,house,MA,2.0
G000206,Wilson Gillette,Gillette,Wilson,Republican,house,PA,14.0
G000338,Ed Gossett,Gossett,Ed,Democrat,house,TX,13.0
G000379,Walter Granger,Granger,Walter,Democrat,house,UT,1.0
G000438,Ernest Greenwood,Greenwood,Ernest,Democrat,house,NY,1.0
H000050,Edwin Hall,Hall,Edwin,Republican,house,NY,37.0
H000060,Leonard Hall,Hall,Leonard,Republican,house,NY,2.0
H000356,Franck Havenner,Havenner,Franck,Democrat,house,CA,4.0
H000442,Erland Hedrick,Hedrick,Erland,Democrat,house,WV,6.0
H000443,James Heffernan,Heffernan,James,Democrat,house,NY,11.0
H000548,Christian Herter,Herter,Christian,Republican,house,MA,10.0
I000037,Theodore Irving,Irving,Theodore,Democrat,house,MO,4.0
J000080,Edward Jenison,Jenison,Edward,Republican,house,IL,23.0
J000224,Hamilton Jones,Jones,Hamilton,Democrat,house,NC,10.0
K000039,John Kee,Kee,John,Democrat,house,WV,5.0
K000138,John Kerr,Kerr,John,Democrat,house,NC,2.0
L000095,Henry Larcade,Larcade,Henry,Democrat,house,LA,7.0
L000318,James Lind,Lind,James,Democrat,house,PA,21.0
M000045,Clare Magee,Magee,Clare,Democrat,house,MO,1.0
M000455,Christopher McGrath,McGrath,Christopher,Democrat,house,NY,26.0
M000465,John McGuire,McGuire,John,Democrat,house,CT,3.0
M000528,Clinton McKinnon,McKinnon,Clinton,Democrat,house,CA,23.0
M000577,Chester McMullen,McMullen,Chester,Democrat,house,FL,1.0
M000814,Hugh Mitchell,Mitchell,Hugh,Democrat,house,WA,1.0
M001081,John Murdock,Murdock,John,Democrat,house,AZ,1.0
M001094,James Murphy,Murphy,James,Democrat,house,NY,16.0
M001112,Reid Murray,Murray,Reid,Republican,house,WI,7.0
O000095,Harry O’Neill,O’Neill,Harry,Democrat,house,PA,10.0
