bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance,occurrence_index
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-02,2017-03-21,plausible,,Howard County MD - bond,Corporate Bond,Purchase,"$100,001 - $250,000",175000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,469acc22aab08f01f41ed023ade8d13e392b67005bf1732ac2e6798e9584f25c,none,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-01,2017-03-21,plausible,ORLY,O Reilly Automotive New - stock,,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,0a1a609e3b742814016c8c2261caa2f5d3cf8e6504d1ad8b6c6743c8d84b56d1,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-01,2017-03-21,plausible,FRC,First Republic Bank - stock,,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,4c54b91bd3c814a69104dd704e2470454f58648a4e3fc81a8b3efb25d530c0ae,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-01,2017-03-21,plausible,TDG,"Transdigm Group, Inc. - stock",Stock,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,35ca0c04a3b3aa0a45dbc16cf132cf76137f1454be2dfc83061e73345613c10d,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-01,2017-03-21,plausible,SIG,Signet Jewelers Ltd. - stock,,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,0f192ad6934670811e352fe16f23b0f44fbf2f2c5aacd3726f68d738738992c5,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-02,2017-03-21,plausible,IDXX,Idexx Labs Inc. - stock,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,2753d05cbc508c1981848a3b4bcfa73cdba3cb17bf3db3c59b0941d422568cc4,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-07,2017-03-21,plausible,PKI,Perkinelmer Inc. - stock,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,7608857915a17cb13984182ec775a84e15a530362919e497288f92a61e966e01,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-09,2017-03-21,plausible,IDXX,Idexx Labs Inc. - stock,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,b0f3a1e899dadf4ecf6083e7f375e1f1d8585992c9b7dde1a1b692ab6db0bbf6,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-15,2017-03-21,plausible,BRKR,Bruker Corporation - stock,Stock,Sale,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,c771713953f1c9068789b8489920820d52f0a4fecc7bd805c5600e6f5e2cb03b,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-15,2017-03-21,plausible,IDXX,Idexx Labs Inc. - stock,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,f67ba9c2932e0d7a13674095025d522b13433fcc724982a05ae16a67cc92052c,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-15,2017-03-21,plausible,VNTV,Vantiv Inc. - stock,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,46ce0be22189948a2b3337c0405651e50c0cee1f3b07fec195f6d2541984da98,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-15,2017-03-21,plausible,ANSS,"Ansys, Inc. - stock",Stock,Purchase,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,2b222c23074e2e74675a91634a469f853765c49ba8563ac2343f317b902353df,elec_dict,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-03-15,2017-03-21,plausible,MTD,Mettler Toledo Intl Inc. - stock,Stock,Sale,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110569,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110569.pdf,d508b8c0e236a9a7fa0c2bcb32675b0a4f15b943f637b203edcbce9b74d9cb79,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-01-17,2017-02-06,plausible,BAM,Brookfield Asset Mgmt. - stock,,Purchase,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110429,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110429.pdf,423e095d371db3386a33667f96986620652bece9ca4043f9d5163df9c439ae2c,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-01-17,2017-02-06,plausible,IT,Gartner Inc. - stock,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110429,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110429.pdf,77dd3deb99ce3ec04e23cff7abcafe685f4223ae4ad7454356e8a779eda00bc0,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-01-17,2017-02-06,plausible,INFO,I H S Markit Ltd. - stock,,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110429,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110429.pdf,5294045ad7241084881276e1053e0303bebf743dcc08064d761d3a07942e1211,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-01-19,2017-02-06,plausible,BFAM,"Bright Horizons Family Solutions, Inc. - stock",Stock,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110429,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110429.pdf,ec167e495e54aa91b30251cf27897661079d78aeec5e74e3f3edea31cf907b8b,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-01-20,2017-02-06,plausible,SSNC,SS&C Technologies Holdings - stock,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110429,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110429.pdf,66dc7b2ab687cdaeb8c86d521334da510ab45feaad50dea757cb8213c7ddd6db,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-01-23,2017-02-06,plausible,EXPD,Expeditors International Wash - stock,,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110429,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110429.pdf,1420788211c01da76ad0cfb068b4dafda891800165e766c0d0c9a67160594f62,llm,house-pdf-ocr,0
