bioguide,categorie,quadrant,n_photos,a_flux,a_photo_entree,dans_cohorte_Ca,dans_cohorte_papier,premiere_photo,derniere_photo
B001270,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-05-15,2023-04-02
B001271,reconstructible partiel,déjà-là partis,3,True,False,False,False,2015-05-15,2017-03-06
B001273,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-05-15,2019-01-30
B001274,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-14,2023-05-02
B001275,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-15,2025-02-28
B001278,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-15,2026-06-11
B001279,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-05-08,2015-05-08
B001280,reconstructible partiel,déjà-là partis,2,False,False,False,False,2018-03-09,2019-11-30
B001281,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-12
B001282,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-14,2025-08-11
B001283,reconstructible partiel,déjà-là partis,3,False,False,False,False,2015-05-01,2017-05-15
B001284,reconstructible partiel,déjà-là partis,7,True,False,False,False,2015-05-14,2021-05-04
B001285,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-05-15,2025-07-21
B001286,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-14,2023-01-24
B001287,reconstructible partiel,déjà-là restés,11,False,False,False,False,2015-05-15,2025-08-06
B001289,reconstructible partiel,cycle complet,8,False,False,False,False,2014-05-15,2021-07-09
B001290,reconstructible partiel,cycle complet,5,False,True,False,False,2015-05-15,2019-01-14
B001291,reconstructible partiel,arrivés restés,12,True,False,False,False,2015-07-15,2026-05-12
B001295,reconstructible partiel,arrivés restés,12,False,False,False,False,2014-05-13,2025-08-13
B001296,reconstructible partiel,arrivés restés,12,False,True,False,False,2014-08-12,2025-07-25
B001298,reconstructible partiel,arrivés restés,12,False,True,False,False,2015-04-18,2026-04-19
B001301,reconstructible partiel,arrivés restés,11,False,True,False,False,2016-06-29,2026-05-05
B001302,reconstructible partiel,arrivés restés,11,False,False,False,False,2016-05-20,2026-05-13
B001304,reconstructible partiel,cycle complet,10,False,False,False,False,2015-04-19,2023-01-14
B001305,reconstructible partiel,cycle complet,7,False,False,False,False,2016-05-05,2022-08-12
B001306,reconstructible partiel,arrivés restés,10,False,False,False,False,2018-01-05,2026-04-17
B001307,reconstructible partiel,arrivés restés,9,False,False,False,False,2018-02-23,2025-08-12
B001308,reconstructible partiel,cycle complet,5,False,True,False,False,2017-07-27,2021-02-10
B001311,reconstructible partiel,cycle complet,7,True,False,False,False,2019-04-19,2025-01-17
B001313,reconstructible partiel,arrivés restés,5,False,False,False,False,2021-06-29,2025-05-16
B001314,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-06-29,2026-05-14
B001315,reconstructible partiel,arrivés restés,6,False,True,False,False,2021-10-20,2026-05-14
B001317,reconstructible partiel,arrivés restés,5,False,False,False,False,2022-05-01,2026-05-13
B001318,reconstructible partiel,arrivés restés,6,False,True,False,False,2022-06-09,2026-04-30
B001321,reconstructible partiel,arrivés restés,5,False,True,False,False,2022-03-17,2025-05-13
B001322,reconstructible partiel,arrivés restés,3,False,True,False,False,2024-03-24,2026-05-07
B001324,reconstructible partiel,arrivés restés,2,False,False,False,False,2025-08-13,2026-05-15
B001326,reconstructible partiel,arrivés restés,3,False,True,False,False,2023-08-25,2025-08-13
C000059,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-12,2026-05-04
C000071,reconstructible partiel,déjà-là partis,1,True,False,False,False,2015-01-27,2015-01-27
C000266,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-14,2023-03-17
C000380,reconstructible partiel,déjà-là partis,1,False,False,False,False,2015-01-07,2015-01-07
C000537,reconstructible partiel,déjà-là restés,12,False,False,False,False,2015-05-15,2026-05-15
C000556,reconstructible partiel,déjà-là partis,1,True,False,False,False,2015-01-29,2015-01-29
C000714,reconstructible partiel,déjà-là partis,2,False,False,False,False,2017-08-11,2018-08-17
C000754,reconstructible partiel,déjà-là partis,10,True,False,False,False,2015-06-12,2025-09-05
