bioguide,date,ftype,n_photo,n_confirmees,n_apparues,n_disparues
B001287,2023-09-01,O,54,47.0,7.0,7.0
B001287,2024-06-14,O,53,50.0,3.0,4.0
B001287,2025-08-06,O,53,50.0,3.0,3.0
B001289,2014-05-15,O,44,,,
B001289,2021-07-09,T,30,10.0,20.0,34.0
B001290,2015-05-15,H,14,,,
B001290,2016-05-16,O,15,0.0,15.0,14.0
B001290,2017-05-15,O,7,0.0,7.0,15.0
B001290,2018-05-10,O,12,0.0,12.0,7.0
B001290,2019-01-14,T,12,12.0,0.0,0.0
B001291,2015-07-15,H,98,,,
B001291,2016-08-13,O,87,3.0,84.0,105.0
B001291,2017-08-08,O,91,62.0,29.0,25.0
B001291,2018-08-13,O,92,16.0,76.0,75.0
B001291,2019-08-13,O,101,48.0,53.0,44.0
B001291,2020-08-12,O,99,90.0,9.0,11.0
B001291,2021-08-13,O,99,71.0,28.0,28.0
B001291,2022-05-16,O,97,46.0,51.0,54.0
B001291,2023-06-09,O,91,74.0,17.0,25.0
B001291,2024-08-03,O,93,62.0,31.0,29.0
B001291,2025-05-12,O,90,83.0,7.0,10.0
B001291,2026-05-12,O,85,34.0,51.0,50.0
B001292,2014-05-08,C,34,,,
B001292,2015-05-16,H,33,32.0,1.0,2.0
B001292,2016-05-08,O,51,15.0,36.0,18.0
B001292,2017-05-10,O,47,25.0,22.0,26.0
B001292,2018-05-09,O,48,15.0,33.0,32.0
B001292,2019-05-12,O,45,39.0,6.0,9.0
B001292,2020-06-27,O,84,58.0,26.0,56.0
B001292,2021-07-17,O,103,60.0,43.0,49.0
B001292,2022-05-08,O,104,40.0,64.0,48.0
B001292,2023-04-22,O,52,17.0,35.0,90.0
B001292,2024-04-23,O,51,43.0,8.0,11.0
B001292,2025-05-13,O,72,30.0,42.0,39.0
B001292,2026-04-12,O,81,57.0,24.0,23.0
B001293,2014-06-27,C,56,,,
B001293,2015-05-08,H,54,27.0,27.0,29.0
B001293,2016-06-14,O,43,34.0,9.0,20.0
B001293,2017-07-20,O,44,41.0,3.0,2.0
B001293,2018-06-06,O,41,11.0,30.0,33.0
B001293,2019-04-05,T,41,30.0,11.0,11.0
B001294,2014-05-13,C,29,,,
B001294,2015-08-12,H,60,23.0,37.0,7.0
B001294,2016-08-14,O,57,38.0,19.0,22.0
B001294,2017-08-12,O,58,48.0,10.0,11.0
B001294,2018-08-12,O,59,42.0,17.0,16.0
B001294,2019-01-16,T,61,57.0,4.0,5.0
B001295,2015-06-01,H,13,,,
B001295,2016-06-14,O,10,1.0,9.0,12.0
B001295,2017-05-09,O,11,7.0,4.0,3.0
B001295,2018-06-12,O,10,1.0,9.0,10.0
B001295,2019-05-09,O,11,2.0,9.0,8.0
B001295,2020-08-13,O,14,3.0,11.0,8.0
B001295,2021-08-11,O,14,3.0,11.0,11.0
B001295,2022-05-13,O,15,2.0,13.0,12.0
B001295,2023-06-12,O,18,7.0,11.0,8.0
B001295,2024-06-05,O,22,3.0,19.0,15.0
B001295,2025-08-13,O,22,21.0,1.0,1.0
B001296,2014-08-12,C,14,,,
B001296,2015-08-04,O,16,0.0,16.0,14.0
B001296,2016-08-10,O,14,0.0,14.0,16.0
B001296,2017-08-17,O,13,0.0,13.0,14.0
B001296,2018-08-10,O,9,0.0,9.0,13.0
B001296,2019-08-13,O,7,7.0,0.0,2.0
B001296,2020-08-13,O,5,5.0,0.0,2.0
B001296,2021-08-13,O,5,3.0,2.0,2.0
B001296,2022-06-14,O,4,4.0,0.0,1.0
B001296,2023-08-12,O,4,3.0,1.0,1.0
B001296,2024-04-15,O,5,4.0,1.0,0.0
B001296,2025-07-25,O,5,4.0,1.0,1.0
B001297,2014-05-04,C,11,,,
B001297,2015-05-13,H,8,4.0,4.0,7.0
B001297,2016-05-13,O,8,4.0,4.0,4.0
B001297,2017-07-28,O,11,6.0,5.0,3.0
B001297,2018-08-06,O,37,9.0,28.0,41.0
B001297,2019-07-18,O,26,21.0,5.0,16.0
B001297,2020-08-14,O,24,22.0,2.0,4.0
B001297,2021-08-09,O,25,9.0,16.0,15.0
B001297,2022-05-14,O,20,10.0,10.0,14.0
B001297,2023-05-16,O,16,14.0,2.0,6.0
B001297,2024-06-19,T,21,11.0,10.0,5.0
B001298,2015-04-18,C,12,,,
B001298,2016-05-15,C,12,3.0,9.0,9.0
B001298,2017-05-02,H,11,4.0,7.0,8.0
B001298,2018-05-12,O,11,1.0,10.0,10.0
B001298,2019-05-12,O,12,6.0,6.0,5.0
B001298,2020-08-09,O,11,6.0,5.0,6.0
B001298,2021-08-04,O,11,8.0,3.0,3.0
B001298,2022-05-16,O,9,6.0,3.0,5.0
B001298,2023-05-14,O,10,7.0,3.0,2.0
B001298,2024-05-10,O,10,8.0,2.0,2.0
B001298,2025-05-05,O,10,8.0,2.0,2.0
B001298,2026-04-19,O,9,6.0,3.0,4.0
B001299,2015-06-10,C,16,,,
