bioguide,date,sens,cause,n
A000377,2020-08-13,disparue,nom,15
A000377,2021-08-12,apparue,nom,34
A000377,2021-08-12,disparue,nom,22
A000377,2022-08-12,apparue,nom,30
A000377,2022-08-12,disparue,nom,19
A000377,2022-08-12,disparue,residuel,1
A000377,2023-09-08,apparue,nom,374
A000377,2023-09-08,disparue,nom,348
A000377,2023-09-08,disparue,residuel,2
A000377,2024-08-12,apparue,nom,48
A000377,2024-08-12,apparue,premiere,7
A000377,2024-08-12,disparue,nom,18
A000377,2025-04-15,apparue,nom,13
A000378,2018-05-16,apparue,nom,35
A000378,2018-05-16,apparue,premiere,7
A000378,2018-05-16,disparue,nom,31
A000378,2018-05-16,disparue,residuel,8
A000378,2019-05-06,apparue,nom,6
A000378,2019-05-06,disparue,nom,41
A000378,2019-05-06,disparue,type_photo,27
A000378,2020-05-12,apparue,nom,25
A000378,2020-05-12,apparue,premiere,11
A000378,2020-05-12,apparue,type_photo,7
A000378,2020-05-12,disparue,nom,5
A000378,2020-05-12,disparue,type_photo,11
A000378,2021-07-15,apparue,nom,23
A000378,2021-07-15,disparue,nom,22
A000378,2021-07-15,disparue,residuel,20
A000378,2021-10-08,apparue,nom,3
A000378,2021-10-08,apparue,premiere,1
A000378,2021-10-08,disparue,nom,28
A000378,2021-10-08,disparue,type_photo,28
A000378,2022-05-16,apparue,nom,14
A000378,2022-05-16,apparue,premiere,15
A000378,2022-05-16,apparue,type_photo,17
A000378,2022-05-16,disparue,nom,4
A000378,2022-05-16,disparue,type_photo,5
A000378,2023-01-28,apparue,nom,5
A000378,2023-01-28,apparue,premiere,1
A000378,2023-01-28,apparue,type_photo,3
A000378,2023-01-28,disparue,nom,9
A000378,2023-01-28,disparue,type_photo,1
A000379,2022-06-24,apparue,nom,5
A000379,2022-06-24,disparue,nom,6
A000379,2022-06-24,disparue,residuel,1
A000379,2023-08-11,apparue,nom,17
A000379,2023-08-11,apparue,premiere,27
A000379,2023-08-11,apparue,type_photo,1
A000379,2023-08-11,disparue,nom,4
A000379,2023-08-11,disparue,type_photo,14
A000379,2024-08-12,apparue,nom,16
A000379,2024-08-12,apparue,premiere,14
A000379,2024-08-12,apparue,type_photo,2
A000379,2024-08-12,disparue,nom,19
A000379,2024-08-12,disparue,type_photo,9
A000379,2025-08-12,apparue,nom,9
A000379,2025-08-12,apparue,premiere,3
A000379,2025-08-12,disparue,nom,15
A000379,2025-08-12,disparue,residuel,7
A000380,2024-08-13,apparue,nom,1
A000380,2024-08-13,apparue,premiere,8
A000380,2024-08-13,disparue,nom,19
A000380,2025-05-14,apparue,nom,1
A000380,2025-05-14,disparue,nom,1
A000380,2026-05-14,apparue,premiere,1
A000381,2024-08-13,apparue,nom,2
A000381,2024-08-13,disparue,nom,2
A000381,2024-08-13,disparue,residuel,1
A000381,2025-08-13,apparue,nom,3
A000381,2025-08-13,disparue,nom,2
A000381,2025-08-13,disparue,type_photo,3
B000213,2016-07-29,apparue,nom,1
B000213,2016-07-29,disparue,nom,1
B000213,2016-07-29,disparue,residuel,3
B000213,2017-08-08,apparue,nom,2
