last,first,suffix,state_district,n_depots,types,bioguide,match_method
Alm,Vance Steven,,NV02,2,CD,,aucun_nom
Almonord,Valbrun,,GA00,1,C,,aucun_nom
Almonord,Valbrun,,GA03,3,C,,aucun_nom
Almonte,Melinda,,FL23,1,D,,aucun_nom
Alomar,Rafael Cox,,PR00,1,W,,aucun_nom
Alonso Leon,Teresa,,OR06,1,C,,aucun_nom
Alonzo,Edwin,,CA23,1,C,,aucun_nom
Alponte,Monica Maria,,AZ01,1,C,,aucun_nom
Altekar,Girish,,TX37,1,C,,aucun_nom
Altman,Larry Thomas,III,VA02,2,C,,aucun_nom
Altman,Rob,,TX10,3,CX,,aucun_nom
Altman,Susan Copius,,NJ07,4,CX,,aucun_nom
Altman,Susan Copius,,NJ12,1,C,,aucun_nom
Alvarado,Eliza,,TX15,1,C,,aucun_nom
Alvarado,Ralph A.,,KY06,3,CX,,aucun_nom
Alvarez,Andrew Ruben,,TX22,2,CD,,aucun_nom
Amador,Antonio,,CA09,1,C,,aucun_nom
Amador,Antonio C.,,CA09,1,C,,aucun_nom
Amador,Antonio Candia,,CA09,1,C,,aucun_nom
Amador,Jaliel,,NY13,2,CD,,aucun_nom
Amash,Justin,,MI03,14,OPTX,A000367,exact
Amason,Thomas Marrion,III,AL02,2,D,,aucun_nom
Amason,Tommy Marrion,III,AL02,1,C,,aucun_nom
Amata,Aumua,,AS00,2,O,,aucun_nom
Amato,Bruno,,CA23,3,ACW,,aucun_nom
Amatul-Wadud,Tahirah,,MA01,1,C,,aucun_nom
Ambrose,Mark,,MI11,1,C,,aucun_nom
Ambrose,Nicolee,,MD02,2,CX,,aucun_nom
Ambrosio,Ralph,,NY20,1,C,,aucun_nom
Amiwala,Bushra,,IL09,3,ACX,,aucun_nom
Amjad,Ayne,,WV03,4,CX,,aucun_nom
Amling,Dane,,AZ07,1,D,,aucun_nom
Ammon,Christopher Robert,,TX18,1,C,,aucun_nom
Amo,Gabe F.,,RI01,4,CHO,A000380,prefixe
Amo,Gabriel F.,,RI01,1,X,A000380,last_unique
Amodei,Mark E.,,NV02,16,AOX,A000369,prefixe
Amyx,William Kory,,IN05,2,CD,,aucun_nom
Amyx,William Kory,,IN06,1,C,,aucun_nom
Anabilah-Azumah,Joel,,NY09,3,D,,aucun_nom
Anastos,Emanuel,,MN08,1,C,,aucun_nom
Andarza,Ivan Arturo,,TX21,2,CD,,aucun_nom
Andel,Ellen,,FL18,1,W,,aucun_nom
Anders,Bob,,MO02,2,CW,,aucun_nom
Anders,Samuel,,GA03,1,C,,aucun_nom
Andersen,Carl E.,,CO07,1,C,,aucun_nom
Anderson,Bruce Gordon,,CA18,1,C,,aucun_nom
Anderson,Bryan Neil,,,1,W,,aucun_nom
Anderson,Bryan Neil,,CT03,1,C,,aucun_nom
Anderson,Byron Avery,,AZ06,1,C,,aucun_nom
Anderson,Christopher J.,,WI03,1,W,,aucun_nom
Anderson,Claire,,CA36,1,X,,aucun_nom
Anderson,David,,WA09,1,C,,aucun_nom
Anderson,David Lee,Jr.,TX35,1,C,,aucun_nom
Anderson,David M.,,MD08,2,CX,,aucun_nom
