bioguide_id,last_name,first_name,official_full,nickname,party,chamber,state,district,declarant_name,name_variants,committee_membership,committees_key_flag
C000321,Chappell,William,,,Democrat,house,FL,4.0,William Chappell,"[""William Chappell""]",[],False
C000877,Cranston,Alan,,,Democrat,senate,CA,,Alan Cranston,"[""Alan Cranston""]",[],False
D000038,Daniel,Wilbur,,Dan,Democrat,house,VA,5.0,Wilbur Daniel,"[""Dan Daniel"", ""Wilbur Daniel""]",[],False
D000065,Daub,Harold,,Hal,Republican,house,NE,2.0,Harold Daub,"[""Hal Daub"", ""Harold Daub""]",[],False
D000106,Davis,Jack,,,Republican,house,IL,4.0,Jack Davis,"[""Jack Davis""]",[],False
D000359,DioGuardi,Joseph,,,Republican,house,NY,20.0,Joseph DioGuardi,"[""Joseph DioGuardi""]",[],False
D000366,Dixon,Alan,,,Democrat,senate,IL,,Alan Dixon,"[""Alan Dixon""]",[],False
D000466,Dowdy,Charles,,,Democrat,house,MS,4.0,Charles Dowdy,"[""Charles Dowdy""]",[],False
D000534,Duncan,John,,,Republican,house,TN,2.0,John Duncan,"[""John Duncan""]",[],False
F000329,Fowler,Wyche,,,Democrat,senate,GA,,Wyche Fowler,"[""Wyche Fowler""]",[],False
G000072,Garn,Edwin,,Jake,Republican,senate,UT,,Edwin Garn,"[""Edwin Garn"", ""Jake Garn""]",[],False
G000400,Gray,Kenneth,,,Democrat,house,IL,22.0,Kenneth Gray,"[""Kenneth Gray""]",[],False
H000840,Howard,James,,,Democrat,house,NJ,3.0,James Howard,"[""James Howard""]",[],False
J000216,Jones,Ed,,,Democrat,house,TN,8.0,Ed Jones,"[""Ed Jones""]",[],False
K000011,Karnes,David,,,Republican,senate,NE,,David Karnes,"[""David Karnes""]",[],False
K000019,Kasten,Robert,,,Republican,senate,WI,,Robert Kasten,"[""Robert Kasten""]",[],False
K000086,Kemp,Jack,,,Republican,house,NY,31.0,Jack Kemp,"[""Jack Kemp""]",[],False
K000309,Konnyu,Ernest,,,Republican,house,CA,12.0,Ernest Konnyu,"[""Ernest Konnyu""]",[],False
L000116,Latta,Delbert,,,Republican,house,OH,5.0,Delbert Latta,"[""Delbert Latta""]",[],False
L000486,Lowry,Michael,,,Democrat,house,WA,7.0,Michael Lowry,"[""Michael Lowry""]",[],False
L000506,Luján,Manuel,,,Republican,house,NM,1.0,Manuel Luján,"[""Manuel Luj\u00e1n""]",[],False
M000023,MacKay,Kenneth,,Buddy,Democrat,house,FL,6.0,Kenneth MacKay,"[""Buddy MacKay"", ""Kenneth MacKay""]",[],False
M000527,McKinney,Stewart,,,Republican,house,CT,4.0,Stewart McKinney,"[""Stewart McKinney""]",[],False
M000688,Mica,Daniel,,,Democrat,house,FL,14.0,Daniel Mica,"[""Daniel Mica""]",[],False
N000095,Nichols,William,,,Democrat,house,AL,3.0,William Nichols,"[""William Nichols""]",[],False
P000522,Price,Charles,,,Democrat,house,IL,21.0,Charles Price,"[""Charles Price""]",[],False
Q000007,Quayle,James,,Dan,Republican,senate,IN,,James Quayle,"[""Dan Quayle"", ""James Quayle""]",[],False
R000374,Rodino,Peter,,,Democrat,house,NJ,10.0,Peter Rodino,"[""Peter Rodino""]",[],False
R000384,Roemer,Charles,,Buddy,Democrat,house,LA,4.0,Charles Roemer,"[""Buddy Roemer"", ""Charles Roemer""]",[],False
R000497,Rudman,Warren,,,Republican,senate,NH,,Warren Rudman,"[""Warren Rudman""]",[],False
S000762,St. Germain,Fernand,,,Democrat,house,RI,1.0,Fernand St. Germain,"[""Fernand St. Germain""]",[],False
S000997,Stratton,Samuel,,,Democrat,house,NY,23.0,Samuel Stratton,"[""Samuel Stratton""]",[],False
S001077,Sunia,Fofó,,,Democrat,house,AS,0.0,Fofó Sunia,"[""Fof\u00f3 Sunia""]",[],False
S001101,Sweeney,David,,Mac,Republican,house,TX,14.0,David Sweeney,"[""David Sweeney"", ""Mac Sweeney""]",[],False
S001122,Swindall,Patrick,,,Republican,house,GA,4.0,Patrick Swindall,"[""Patrick Swindall""]",[],False
S001138,Symms,Steven,,,Republican,senate,ID,,Steven Symms,"[""Steven Symms""]",[],False
T000075,Taylor,Gene,,,Republican,house,MO,7.0,Gene Taylor,"[""Gene Taylor""]",[],False
W000647,Wirth,Timothy,,,Democrat,senate,CO,,Timothy Wirth,"[""Timothy Wirth""]",[],False
W000752,Wortley,George,,,Republican,house,NY,27.0,George Wortley,"[""George Wortley""]",[],False
B000236,Bates,Jim,,,Democrat,house,CA,44.0,Jim Bates,"[""Jim Bates""]",[],False
B000401,Bentsen,Lloyd,,,Democrat,senate,TX,,Lloyd Bentsen,"[""Lloyd Bentsen""]",[],False
B000592,Boggs,Corinne,,Lindy,Democrat,house,LA,2.0,Corinne Boggs,"[""Corinne Boggs"", ""Lindy Boggs""]",[],False
B000648,Bosco,Douglas,,,Democrat,house,CA,1.0,Douglas Bosco,"[""Douglas Bosco""]",[],False
B000798,Brennan,Joseph,,,Democrat,house,ME,1.0,Joseph Brennan,"[""Joseph Brennan""]",[],False
B001036,Buechner,John,,Jack,Republican,house,MO,2.0,John Buechner,"[""Jack Buechner"", ""John Buechner""]",[],False
B001077,Burdick,Quentin,,,Democrat,senate,ND,,Quentin Burdick,"[""Quentin Burdick""]",[],False
C000344,Cheney,Richard,,,Republican,house,WY,0.0,Richard Cheney,"[""Richard Cheney""]",[],False
C000462,Clarke,James,,,Democrat,house,NC,11.0,James Clarke,"[""James Clarke""]",[],False
C000581,Coelho,Anthony,,,Democrat,house,CA,15.0,Anthony Coelho,"[""Anthony Coelho""]",[],False
C000809,Courter,James,,,Republican,house,NJ,12.0,James Courter,"[""James Courter""]",[],False
C000919,Crockett,George,,,Democrat,house,MI,13.0,George Crockett,"[""George Crockett""]",[],False
D000030,Danforth,John,,,Republican,senate,MO,,John Danforth,"[""John Danforth""]",[],False
D000185,DeConcini,Dennis,,,Democrat,senate,AZ,,Dennis DeConcini,"[""Dennis DeConcini""]",[],False
D000451,Douglas,Charles,,,Republican,house,NH,2.0,Charles Douglas,"[""Charles Douglas""]",[],False
D000566,Durenberger,David,,,Republican,senate,MN,,David Durenberger,"[""David Durenberger""]",[],False
D000593,Dyson,Royden,,,Democrat,house,MD,1.0,Royden Dyson,"[""Royden Dyson""]",[],False
F000046,Fauntroy,Walter,,,Democrat,house,DC,0.0,Walter Fauntroy,"[""Walter Fauntroy""]",[],False
F000208,Flippo,Ronnie,,,Democrat,house,AL,5.0,Ronnie Flippo,"[""Ronnie Flippo""]",[],False
