bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,WMB,"The Williams Companies, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,debbd1f7e889e53660f42c085f3e49391869da1320c50b6b3b34de2e5c1bf9bd,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,WMB,"The Williams Companies, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,debbd1f7e889e53660f42c085f3e49391869da1320c50b6b3b34de2e5c1bf9bd,senate-efd-electronic,explicit,1
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,MPLX,MPLX LP,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,0a4de2202756cc4dc5a9f9e602149dc171cc9b56b6241e6f79123444f1a5548b,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,TRGP,Targa Resources Corp.,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,ccf4fe999d7880a5b6df3fa1b001db533e6cc3b3d15efd5dd0fb33948c5347f3,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,ENB,Enbridge Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,66b7c5685761310ba66dda776d3d6ec553c6dd18e987953dd689d55ec4cb5389,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,DCP,"DCP Midstream, LP",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,497bfcda151f64e4b78e946045ac2d3e492e3f16ce08616efa8810c27a523933,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,DCP,"DCP Midstream, LP",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,497bfcda151f64e4b78e946045ac2d3e492e3f16ce08616efa8810c27a523933,senate-efd-electronic,explicit,1
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,LNG,"Cheniere Energy, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,43788db98b2a2c25dde79bf9973b9c1b93cb87c86b8cf48b85357b4d88967962,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-19,2021-05-02,ALB,Albemarle Corporation,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,107d1cef3f934a5aead4b9890918eddb479f0fcd43fdbd030d25cf9ef523239e,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-20,2021-05-02,WES,"Western Midstream Partners, LP",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,c6ba801b18760c67b047454fd7e1cd06f3bf1091c34826edb021c158cb919cb1,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-20,2021-05-02,WES,"Western Midstream Partners, LP",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,c6ba801b18760c67b047454fd7e1cd06f3bf1091c34826edb021c158cb919cb1,senate-efd-electronic,explicit,1
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-20,2021-05-02,SHLX,"Shell Midstream Partners, L.P.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,1109816977e547fdabd049ecbe4e9b361bba5f9467fc8418b7dff55e239bee81,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-20,2021-05-02,OKE,"ONEOK, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,00dd74419beffcd21a16e5aeee70b4dfe28f785d2d1c5bda2484bca455a8dd5e,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-20,2021-05-02,T,AT&T Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,6ab432077ecb545e8ed7dcc02f079533ec9110e390c3868d3ef9f3a067c23ee0,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-21,2021-05-02,PSXP,Phillips 66 Partners LP,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,c5a05197181051bd0a9b439b6e7d517ba77be057d383fc3c2b577e259ef16476,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-21,2021-05-02,PSXP,Phillips 66 Partners LP,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,f5b9a956acf182ab7708820ddfdc4631556e071eca3e1d7d151b56d65c85d9d7,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-21,2021-05-02,PSXP,Phillips 66 Partners LP,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,f5b9a956acf182ab7708820ddfdc4631556e071eca3e1d7d151b56d65c85d9d7,senate-efd-electronic,explicit,1
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-21,2021-05-02,VIAC,ViacomCBS Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,6b474645d24bef03a733093530a0e1740c77e7ca081825458060814fee9fc9df,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-21,2021-05-02,T,AT&T Inc.,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,bb4d43d7c95b5d5a540b1440287d99b75438cf5b21955e8859b890f1246a8842,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-24,2021-05-02,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,a92d27de0edeec87efeb577e0a5974707f001449412d0d23f49a5a0161b8d66e,senate-efd-electronic,explicit,1
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-24,2021-05-02,T,AT&T Inc.,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,def049d909cedb80b5d33b62c0a7838b7d01cd068461eec0edf0e469ad8432f5,senate-efd-electronic,explicit,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2020-02-24,2021-05-02,CZR,Caesars Entertainment Corporation,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,3644a5ce-e1f9-4b36-9f48-65842e44f75e,https://efdsearch.senate.gov/search/view/ptr/3644a5ce-e1f9-4b36-9f48-65842e44f75e/,a92d27de0edeec87efeb577e0a5974707f001449412d0d23f49a5a0161b8d66e,senate-efd-electronic,explicit,0
