bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,IBTB,ISHARES IBONDS DEC 2022 TERM T (IBTB),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,e22aad13683ba5423505ae382c28c1c9d8fb48a1c203d9fbd84c38e6e5c65640,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,IBTG,ISHARES IBONDS DEC 2026 TERM T (IBTG),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,7a7de7382f184766ad812ee39ed1bb819b6a2e50f80d78786871a9fb68af0d5d,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,IBTF,ISHARES IBONDS DEC 2025 TERM T (IBTF),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,62590018a6a93b243635242915f0da6ae59a511404703442b5aab7a7e705912d,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,SPYG,SPDR SER TR S&P 500 GROWTH E (SPYG),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,6b6debe5579fd635700cf3a6d1e54167f3ca40ce5f6a85da34d5955b2bd0ccf1,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,SPYV,SPDR SER TR S&P 500 VALUE ETF (SPYV),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,54c51cec40fe11b91ed243576ecdf9fe6ca54cbb73af2533d8cc8775d353edf8,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,XLV,SELECT SECTOR SPDR TR HEALTH (XLV),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,c98ec4459d59b47d67db8250790145be2e7549cdf4d87784395727218a00e2e7,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-01-24,2022-02-11,XLI,SELECT SECTOR SPDR TR INDL (XLI),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218565,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218565.pdf,218260d35aa68fa2996056e379a522f9ef38270586300c1198656f5d08797afb,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2012-08-14,2022-12-12,PARMX,PARNASSUS MID-CAP FUND INVE (PARMX),Mutual Fund,Sale,"$15,001 - $50,000",32500.0,False,Joint Tenancy,8219298,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219298.pdf,6d1ef87d774afb5f92e963b87801da6dd604624dc775025fcce7b83cf434d4b5,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-11-18,2022-12-12,TWLO,TWILIO INC CL A (TWLO),Stock,Sale,"$1,001 - $15,000",8000.0,False,SELF,8219298,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219298.pdf,0d474868197dc15b302ad8cc38cd7805d83389432fa8811dc9e77abdf684148e,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-11-28,2022-12-12,TWLO,TWILIO INC CL A (TWLO),Stock,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8219298,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219298.pdf,2dff259f3e4440b88157c46f4ed2394db57c24d8817172c9d345d8efadd15e2f,explicit,house-pdf-ocr
