bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
L000554,Frank A. LoBiondo,house,Republican,NJ02,,False,2016-12-05,2016-12-20,JWN,"Nordstrom, Inc.",,Sale,"$1,001 - $15,000",8000.5,False,SELF,20006399,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006399.pdf,e8a7f7fec8464953f2129055415ae9eafe12a7539e193a46beb8f019714d625f,0
C001080,Judy Chu,house,Democrat,CA27,HSWM02; HSWM03; HSWM06; House Committee on Ways and Means; House Committee on the Budget,False,2016-11-22,2016-12-20,,SPDR goLD TR goLD SHS gLD NoV,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006340,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006340.pdf,c1ff57441622c4c03293c31a43e306fc4e5b1a201c3e58dbd0b6988807091f84,0
C001080,Judy Chu,house,Democrat,CA27,HSWM02; HSWM03; HSWM06; House Committee on Ways and Means; House Committee on the Budget,False,2016-11-16,2016-12-20,,ISHaRES TLT NoV 18 124 PUT,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006340,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006340.pdf,406a021ce98870475fce7943edfd76b29fea1a9eb7583a5dff0a20bdf3f0ae94,0
C001080,Judy Chu,house,Democrat,CA27,HSWM02; HSWM03; HSWM06; House Committee on Ways and Means; House Committee on the Budget,False,2016-11-03,2016-12-20,,SPDR goLD TR goLD SHS NoV 4,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006340,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006340.pdf,9d5a6b443debf640bbb40e378b1a203a01887ccabb945652ddd0dc94794db9fc,0
A000373,Brad Ashford,house,Democrat,NE02,,False,2016-11-28,2016-12-20,APA,Apache Corporation,,Sale,"$1,001 - $15,000",8000.5,False,JT,20006391,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006391.pdf,a31522240986b4a6c2b4139b96c530cfe7431de5000a1225883cc7a9225564a0,0
A000373,Brad Ashford,house,Democrat,NE02,,False,2016-12-06,2016-12-20,DRYS,DryShips Inc.,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006390,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006390.pdf,dfda784e48bcd37f4fce5aaa4b51f0dec33033c6ff60026db984264315956b6a,0
A000373,Brad Ashford,house,Democrat,NE02,,False,2016-12-02,2016-12-20,CLF,Cliffs Natural Resources Inc,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006390,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006390.pdf,a91763549d9932756440bdd92fba17526c53ff8ada6ea56a17a084b876cc028b,0
B001297,Kenneth R. Buck,house,Republican,CO04,,False,2016-12-01,2016-12-20,HP,"Helmerich & Payne, Inc.",,Purchase,"$15,001 - $50,000",32500.5,False,SELF,20006384,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006384.pdf,95309da5677f6e090ea91b3390abed3dde5052dc58e1d23ffde87bb772364164,0
C001080,Judy Chu,house,Democrat,CA27,HSWM02; HSWM03; HSWM06; House Committee on Ways and Means; House Committee on the Budget,False,2016-11-10,2016-12-20,,ISHaRES TLT NoV 11 126 PUT,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006340,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006340.pdf,22b60ea1eafbae8e2e87ddecbb9e504e6729b6162232e3f7d0f9305a933ddb49,0
L000581,Brenda Lulenar Lawrence,house,Democrat,MI14,,False,2016-10-31,2016-12-16,FB,"Facebook, Inc. - Class a",,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006381,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006381.pdf,07917dda39ec51226430502c9fef6900722e05ea60b6d654ac8be676b29dd9f9,0
