bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,sector_source,occurrence_index,years_in_office
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,SXL,Sunoco Logistics Partners (SXL),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,bd494cbcf263e2e22892e9787c34bfbcad1b85ef63e94f5918ff9b0b6d178500,senate-efd-electronic,llm,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,ET,Energy Transfer Equity (ETE),Stock,Energy,XLE,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,9fccbe960f0c13cf8854c1b128268cd85c5d719e537229b4c044e42fb4d6fe62,senate-efd-electronic,llm,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,WLK,Westlake Chemical Corp (WLK),Stock,Materials,XLB,Purchase,"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,53565827fd4cb9edddf73c99e5535c5fb89441dd2bd894de93ec4b9d0b3a9fb0,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,CVC,Cablevision Systems Corp (CVC),Stock,Communication Services,XLC,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,bda74c774fba5b7731683ff86d7962a5bd8a417551a763c5501ff28c5bb944f6,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,CIT,CIT Group Inc (CIT),Stock,Financials,XLF,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,9dc241bda3bbe193b28917d104e2a38ed24dff1ad7be542067a5ad44fc553f54,senate-efd-electronic,elec_dict,llm,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,GLW,Corning Inc (GLW),Stock,Information Technology,XLK,Purchase,"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,94ddba3c65e18177c6c43c8017f5e1040ab2595dcdaf2721efbc33f8de3a98c9,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,DE,Deere & Company (DE),Stock,Industrials,XLI,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,1bbf873e7b68b8c69d6561bdb3272bdd28e86f91fcb3d709a01f18861904b1b7,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,BAX,Baxter International (BAX),Stock,Health Care,XLV,Purchase,"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,c1908e99b13f3757c34ab17068259f63a558e2c89544c5b54232d7fe1315a596,senate-efd-electronic,elec_dict,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-28,2015-10-07,plausible,BK,The Bank of NY Mellon Corp (BK),Stock,Financials,XLF,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,fe4bcbb5292dff4ecf984d2ae6707cf4a491e905ec3f4e7f240734847f87a1f1,senate-efd-electronic,llm,yfinance,0,0
P000612,"David A Perdue , Jr",senate,Republican,GA,,False,2015-09-29,2015-10-07,plausible,CVC,Cablevision Systems Corp (CVC),Stock,Communication Services,XLC,Sale (Partial),"$1,001 - $15,000",8000.5,False,Joint,0f819f2c-7313-4c60-b906-20d04a50f5ed,https://efdsearch.senate.gov/search/view/ptr/0f819f2c-7313-4c60-b906-20d04a50f5ed/,19f4620a4e9d358b91c92f370882b4531a65e3473966fa2bd3aa6d562b19b3b8,senate-efd-electronic,elec_dict,llm,1,0
