year,doc_id,local_path,n_pages,text_chars_first_pages,contains_periodic_transaction_report,contains_filer_information,contains_transactions,contains_amount,text_extractable_flag,quality_status,error_message
2025,20033566,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033566.pdf,2,1724,True,False,True,True,True,ok_text,
2025,20026762,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026762.pdf,7,2760,False,False,False,True,True,ok_text,
2025,20027936,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027936.pdf,7,2739,False,False,False,True,True,ok_text,
2025,20029064,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029064.pdf,3,2708,False,False,False,True,True,ok_text,
2025,20030296,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030296.pdf,17,2664,False,False,False,True,True,ok_text,
2025,20030474,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030474.pdf,2,1894,True,False,True,True,True,ok_text,
2025,20030647,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030647.pdf,2,1418,True,False,True,True,True,ok_text,
2025,20030909,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030909.pdf,3,2985,False,False,False,True,True,ok_text,
2025,20032066,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032066.pdf,8,2851,False,False,False,True,True,ok_text,
2025,20032242,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032242.pdf,3,2717,False,False,False,True,True,ok_text,
2025,20033420,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033420.pdf,3,2787,False,False,False,True,True,ok_text,
2025,20033611,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033611.pdf,8,2859,False,False,False,True,True,ok_text,
2025,20026736,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026736.pdf,1,1028,True,False,True,True,True,ok_text,
