bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-16,2021-04-21,TWTR,"Twitter, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,d2412addfd946d2bbdb6aa55c7db9c1205e4612979638598b37769737d96dde9,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-16,2021-04-21,TWLO,Twilio Inc. Class A,Stock,Sale,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,f9e9c7a8a9bcf3e95ee3169c44bd5be55afafe288474c2293f06f29f05de327a,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-22,2021-04-21,BX,The blackstone Group Inc. Class A,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,3a9b6381923001ae29d5abbd60c2766562df9b46280045d89476baf9869d3765,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-10,2021-04-21,TSLA,"Tesla, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,2589070e32ee5bd15650242b6a2672913fc3c6306b2bb8e752069f03faa0489e,0
Y000062,John A. Yarmuth,house,Democrat,KY03,,False,2021-03-05,2021-04-21,DIS,Walt Disney Company,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,SELF,20018609,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018609.pdf,84efc8294db2d2e7ad4089b27bfb5a5a4320fe1385cecc806c5a5bb9df13c147,0
Y000062,John A. Yarmuth,house,Democrat,KY03,,False,2021-03-05,2021-04-21,VZ,Verizon Communications Inc.,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,SELF,20018609,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018609.pdf,537ea70707e2269bc1c159c095c6d0c95a97c2851f3d046ebdb02767ba47a3ed,0
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-29,2021-04-21,TWTR,"2000078159 SP Twitter, Inc.",Stock,Sale,"$1,001",1001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,a91fc737df7a58fc520c058c885051cde32f50345404b0f9b74b26875f59dabf,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-17,2021-04-21,SCHW,Charles Schwab Corporation,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,318aa0bd125ef83d5ec7a1339c4ec13a5c2838e83f18c7c1eb96eb3dba012281,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-12,2021-04-21,CVNA,Carvana Co. Class A,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,cc3bf47bba800a94b47248214569ffc5d776d970e4fc69e6091024ba84b9638a,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-08,2021-04-21,BHP,bHP Group Limited American depositary Shares,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,59845b479d50dcddf26b2a688d172a9ce246571081bbfbcbe1870764d4f3e933,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-22,2021-04-21,TSLA,"Tesla, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,6edb26592b2d955534a6683660398073311326d0291cf55e91b67717d54a45a7,0
G000583,Josh Gottheimer,house,Democrat,NJ05,HLIG02; HLIG04; HSBA10; HSBA16; HSBA21; House Committee on Financial Services; House Permanent Select Committee on Intelligence,True,2021-03-05,2021-04-21,BHP,bHP Group Limited American depositary Shares,Stock,Purchase,"$1,001 - $15,000",8000.5,False,JT,20018534,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018534.pdf,5386f75bc0d5d7ec8da25067b796feb3265bbadc22074380c1e1db1f480a505b,0
N000192,Marie Newman,house,Democrat,IL03,,False,2021-01-29,2021-04-21,BA,2000078154 SP boeing Company,Stock,Sale,"$15,001",15001.0,False,SELF,20018616,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018616.pdf,09022bad8e61615b3521d1972fae4a6ba06c0e69c36b77323ca6403b726857ac,0
