last,first,filing_type,state_dist,filing_date,doc_id,year
Evans,Dwight,P,PA03,12/22/2021,20020081,2021
Fallon,Patrick,P,TX04,6/17/2021,20018760,2021
Fallon,Patrick,P,TX04,7/2/2021,20018998,2021
Fallon,Patrick,P,TX04,8/18/2021,20019260,2021
Fallon,Patrick,P,TX04,9/3/2021,20019418,2021
Fallon,Patrick,P,TX04,10/5/2021,20019582,2021
Fallon,Patrick,P,TX04,11/4/2021,20019752,2021
Fallon,Patrick,P,TX04,11/30/2021,20019902,2021
Fallon,Patrick,P,TX04,12/29/2021,20020096,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,3/3/2021,8217884,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,5/12/2021,8218027,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,8/17/2021,8218297,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,10/1/2021,8218379,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,10/7/2021,8218380,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,10/13/2021,8218397,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,11/12/2021,8218436,2021
Fleischmann,"Charles J. ""Chuck""",P,TN03,12/16/2021,8218505,2021
Foxx,Virginia,P,NC05,1/8/2021,20017967,2021
Foxx,Virginia,P,NC05,2/1/2021,20018115,2021
Foxx,Virginia,P,NC05,3/3/2021,20018306,2021
Foxx,Virginia,P,NC05,4/7/2021,20018512,2021
Foxx,Virginia,P,NC05,5/5/2021,20018670,2021
Foxx,Virginia,P,NC05,6/3/2021,20018805,2021
Foxx,Virginia,P,NC05,7/2/2021,20019013,2021
Foxx,Virginia,P,NC05,8/2/2021,20019162,2021
Foxx,Virginia,P,NC05,9/3/2021,20019412,2021
Foxx,Virginia,P,NC05,10/4/2021,20019557,2021
Foxx,Virginia,P,NC05,11/2/2021,20019717,2021
Foxx,Virginia,P,NC05,12/3/2021,20019946,2021
Frankel,Lois,P,FL21,1/21/2021,20018050,2021
Frankel,Lois,P,FL21,2/25/2021,20018224,2021
Frankel,Lois,P,FL21,3/26/2021,20018420,2021
Frankel,Lois,P,FL21,4/23/2021,20018606,2021
Frankel,Lois,P,FL21,5/25/2021,20018768,2021
Frankel,Lois,P,FL21,6/30/2021,20018944,2021
Frankel,Lois,P,FL21,8/3/2021,20019173,2021
Frankel,Lois,P,FL21,8/18/2021,20019346,2021
Frankel,Lois,P,FL21,9/28/2021,20019512,2021
Frankel,Lois,P,FL21,11/1/2021,20019707,2021
Frankel,Lois,P,FL21,12/21/2021,20020021,2021
Frankel,Lois,P,FL21,12/30/2021,20020112,2021
Franklin,Scott,P,FL15,5/20/2021,8218040,2021
Franklin,Scott,P,FL15,6/1/2021,20018831,2021
Franklin,Scott,P,FL15,6/8/2021,8218078,2021
Franklin,Scott,P,FL15,6/15/2021,8218110,2021
Franklin,Scott,P,FL15,6/15/2021,8218111,2021
Franklin,Scott,P,FL15,10/20/2021,8218405,2021
Franklin,Scott,P,FL15,3/26/2021,20018466,2021
Gallagher,Michael John,P,WI08,4/6/2021,20018529,2021
Garbarino,Andrew,P,NY02,5/24/2021,20018802,2021
Garbarino,Andrew,P,NY02,7/9/2021,20019056,2021
Garbarino,Andrew,P,NY02,11/3/2021,20019736,2021
Garcia,Michael,P,CA25,5/3/2021,20018671,2021
Garcia,Michael,P,CA25,7/13/2021,20019082,2021
Garcia,Michael,P,CA25,10/26/2021,20019692,2021
Gibbs,Bob,P,OH07,2/18/2021,20018238,2021
Gibbs,Bob,P,OH07,4/9/2021,20018545,2021
Gibbs,Bob,P,OH07,5/28/2021,20018821,2021
Gibbs,Bob,P,OH07,7/7/2021,20019045,2021
Gibbs,Bob,P,OH07,11/14/2021,20019814,2021
Gibbs,Bob,P,OH07,11/21/2021,20019863,2021
Gibbs,Bob,P,OH07,11/28/2021,20019893,2021
Gibbs,Bob,P,OH07,12/23/2021,20020090,2021
Gonzalez,Anthony E.,P,OH16,2/12/2021,20018126,2021
Gonzalez,Anthony E.,P,OH16,4/2/2021,20018383,2021
Gonzalez,Anthony E.,P,OH16,4/23/2021,20018548,2021
Gottheimer,Josh,P,NJ05,1/7/2021,20017973,2021
Gottheimer,Josh,P,NJ05,2/9/2021,20018160,2021
Gottheimer,Josh,P,NJ05,3/10/2021,20018333,2021
Gottheimer,Josh,P,NJ05,4/21/2021,20018534,2021
Gottheimer,Josh,P,NJ05,5/7/2021,20018699,2021
Gottheimer,Josh,P,NJ05,6/15/2021,20018854,2021
Gottheimer,Josh,P,NJ05,7/15/2021,20019076,2021
Gottheimer,Josh,P,NJ05,8/9/2021,20019257,2021
Gottheimer,Josh,P,NJ05,9/20/2021,20019479,2021
Gottheimer,Josh,P,NJ05,10/13/2021,20019593,2021
Gottheimer,Josh,P,NJ05,11/15/2021,20019761,2021
Gottheimer,Josh,P,NJ05,12/13/2021,20019961,2021
Graves,Garret,P,LA06,1/28/2021,20018091,2021
Graves,Garret,P,LA06,2/22/2021,20018259,2021
Graves,Garret,P,LA06,4/15/2021,20018587,2021
Green,Mark Dr,P,TN07,1/11/2021,20017867,2021
Green,Mark Dr,P,TN07,3/5/2021,20018065,2021
Green,Mark Dr,P,TN07,3/20/2021,20018359,2021
Green,Mark Dr,P,TN07,3/28/2021,20018471,2021
Green,Mark Dr,P,TN07,4/15/2021,20018526,2021
Green,Mark Dr,P,TN07,4/15/2021,20018586,2021
Green,Mark Dr,P,TN07,4/28/2021,20018602,2021
Green,Mark Dr,P,TN07,5/10/2021,20018709,2021
Green,Mark Dr,P,TN07,5/17/2021,20018758,2021
Green,Mark Dr,P,TN07,6/7/2021,20018798,2021
Green,Mark Dr,P,TN07,6/17/2021,20018933,2021
Green,Mark Dr,P,TN07,7/13/2021,20019043,2021
Green,Mark Dr,P,TN07,8/23/2021,20019349,2021
Green,Mark Dr,P,TN07,9/23/2021,20019435,2021
Green,Mark Dr,P,TN07,9/30/2021,20019543,2021
Green,Mark Dr,P,TN07,10/18/2021,20019606,2021
Green,Mark Dr,P,TN07,10/26/2021,20019654,2021
Green,Mark Dr,P,TN07,11/18/2021,20019780,2021
Greene,Marjorie Taylor,P,GA14,5/12/2021,20018727,2021
Greene,Marjorie Taylor,P,GA14,6/11/2021,20018905,2021
Greene,Marjorie Taylor,P,GA14,6/17/2021,20018935,2021
Greene,Marjorie Taylor,P,GA14,6/21/2021,20018953,2021
Greene,Marjorie Taylor,P,GA14,8/4/2021,20019231,2021
Greene,Marjorie Taylor,P,GA14,8/9/2021,20019266,2021
Greene,Marjorie Taylor,P,GA14,9/3/2021,20019421,2021
Greene,Marjorie Taylor,P,GA14,9/30/2021,20019547,2021
Greene,Marjorie Taylor,P,GA14,10/26/2021,20019691,2021
Greene,Marjorie Taylor,P,GA14,11/22/2021,20019872,2021
Greene,Marjorie Taylor,P,GA14,12/21/2021,20020046,2021
Greene,Marjorie Taylor,P,GA14,2/19/2021,20018243,2021
Grijalva,Raúl M.,P,AZ03,7/14/2021,20019091,2021
Grijalva,Raúl M.,P,AZ03,7/22/2021,20019140,2021
Grijalva,Raúl M.,P,AZ03,12/15/2021,20020029,2021
Grijalva,Raúl M.,P,AZ03,12/20/2021,20020062,2021
Guest,Michael Patrick,P,MS03,11/3/2021,20019676,2021
Harshbarger,Diana,P,TN01,8/16/2021,8218296,2021
Harshbarger,Diana,P,TN01,8/27/2021,8218321,2021
Harshbarger,Diana,P,TN01,9/22/2021,8218358,2021
Harshbarger,Diana,P,TN01,10/25/2021,8218410,2021
Harshbarger,Diana,P,TN01,12/1/2021,8218478,2021
Harshbarger,Diana,P,TN01,12/30/2021,8218512,2021
Hern,Kevin,P,OK01,1/15/2021,20018029,2021
Hern,Kevin,P,OK01,2/17/2021,20018232,2021
Hern,Kevin,P,OK01,3/15/2021,20018400,2021
Hern,Kevin,P,OK01,4/9/2021,20018550,2021
Hern,Kevin,P,OK01,5/17/2021,20018757,2021
Hern,Kevin,P,OK01,6/15/2021,20018919,2021
Hern,Kevin,P,OK01,7/14/2021,20019089,2021
Hern,Kevin,P,OK01,7/30/2021,20019183,2021
Hern,Kevin,P,OK01,9/15/2021,20019334,2021
Hern,Kevin,P,OK01,9/15/2021,20019490,2021
Hern,Kevin,P,OK01,10/7/2021,20019594,2021
Hern,Kevin,P,OK01,11/5/2021,20019762,2021
Hern,Kevin,P,OK01,12/9/2021,20019983,2021
Higgins,Brian,P,NY26,8/11/2021,20019288,2021
Higgins,Brian,P,NY26,8/11/2021,20019289,2021
Hill,James French,P,AR02,4/27/2021,20018570,2021
Hinson Arenholz,Ashley,P,IA01,4/5/2021,20018521,2021
Hollingsworth,Trey,P,IN09,2/4/2021,8217840,2021
Hollingsworth,Trey,P,IN09,3/17/2021,8217902,2021
Hollingsworth,Trey,P,IN09,4/14/2021,8217934,2021
Hollingsworth,Trey,P,IN09,5/12/2021,8218030,2021
Hollingsworth,Trey,P,IN09,6/15/2021,8218112,2021
Hollingsworth,Trey,P,IN09,7/27/2021,8218182,2021
Hollingsworth,Trey,P,IN09,10/8/2021,8218381,2021
Hollingsworth,Trey,P,IN09,11/10/2021,8218433,2021
Hollingsworth,Trey,P,IN09,11/16/2021,8218441,2021
Hollingsworth,Trey,P,IN09,12/7/2021,8218489,2021
Huizenga,Bill,P,MI02,3/19/2021,8217905,2021
Jacobs,Christopher L.,P,NY27,2/10/2021,20018037,2021
Jacobs,Christopher L.,P,NY27,2/17/2021,20018205,2021
