doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20019221,Blumenauer,Earl,P,OR03,8/2/2021,2021-08-02,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019221.pdf
20019364,Blumenauer,Earl,P,OR03,8/20/2021,2021-08-20,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019364.pdf
20019438,Blumenauer,Earl,P,OR03,9/7/2021,2021-09-07,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019438.pdf
20019580,Blumenauer,Earl,P,OR03,10/5/2021,2021-10-05,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019580.pdf
20019618,Blumenauer,Earl,P,OR03,10/12/2021,2021-10-12,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019618.pdf
20019619,Blumenauer,Earl,P,OR03,10/12/2021,2021-10-12,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019619.pdf
20019771,Blumenauer,Earl,P,OR03,11/7/2021,2021-11-07,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019771.pdf
20019869,Blumenauer,Earl,P,OR03,11/22/2021,2021-11-22,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019869.pdf
20019979,Blumenauer,Earl,P,OR03,12/8/2021,2021-12-08,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019979.pdf
20018077,Brooks,Mo,P,AL05,1/26/2021,2021-01-26,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf
20018204,Brooks,Mo,P,AL05,2/12/2021,2021-02-12,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018204.pdf
20018223,Brooks,Mo,P,AL05,2/16/2021,2021-02-16,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018223.pdf
20018605,Brooks,Mo,P,AL05,4/20/2021,2021-04-20,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018605.pdf
20018822,Brooks,Mo,P,AL05,5/28/2021,2021-05-28,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018822.pdf
20019066,Brooks,Mo,P,AL05,7/10/2021,2021-07-10,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019066.pdf
20019249,Brooks,Mo,P,AL05,8/6/2021,2021-08-06,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019249.pdf
20019626,Brooks,Mo,P,AL05,10/14/2021,2021-10-14,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019626.pdf
20018041,Buchanan,Vern,P,FL16,1/18/2021,2021-01-18,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018041.pdf
20018280,Buchanan,Vern,P,FL16,2/25/2021,2021-02-25,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018280.pdf
20018648,Buchanan,Vern,P,FL16,4/28/2021,2021-04-28,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018648.pdf
20018836,Buchanan,Vern,P,FL16,6/2/2021,2021-06-02,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018836.pdf
20019269,Buchanan,Vern,P,FL16,8/9/2021,2021-08-09,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019269.pdf
20019641,Buck,Kenneth R.,P,CO04,10/17/2021,2021-10-17,Kenneth R. Buck,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019641.pdf
20019726,Bucshon,Larry,P,IN08,11/1/2021,2021-11-01,Larry Bucshon,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019726.pdf
20019844,Burgess,Michael C.,P,TX26,11/17/2021,2021-11-17,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019844.pdf
20019995,Burgess,Michael C.,P,TX26,12/31/2021,2021-12-31,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019995.pdf
20019001,Bustos,Cheri,P,IL17,8/3/2021,2021-08-03,Cheri Bustos,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019001.pdf
20018712,Carter,Earl Leroy,P,GA01,5/10/2021,2021-05-10,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018712.pdf
20018726,Carter,Earl Leroy,P,GA01,5/12/2021,2021-05-12,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018726.pdf
20018706,Case,Ed,P,HI01,5/9/2021,2021-05-09,Ed Case,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018706.pdf
